[2024-10-12T10:43:24.084+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T10:43:24.296+0800] GC(0) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 9239040B, recent allocation size: 2097152B, recent allocation duration: 210.60ms, recent old gen allocation rate: 9958146.95B/s, recent marking phase length: 0.00ms
[2024-10-12T10:43:26.355+0800] GC(8) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 73085952B, additional buffer size: 16777216B, predicted old gen allocation rate: 9162290.87B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:43:26.753+0800] GC(10) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 82173440B, recent allocation size: 2103344B, recent allocation duration: 388.90ms, recent old gen allocation rate: 5408498.23B/s, recent marking phase length: 0.00ms
[2024-10-12T10:43:26.753+0800] GC(10) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 82173440B, additional buffer size: 0B, predicted old gen allocation rate: 8887574.54B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:43:26.863+0800] GC(11) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 74250752B, recent allocation size: 171312B, recent allocation duration: 388.90ms, recent old gen allocation rate: 440508.38B/s, recent marking phase length: 494.62ms
[2024-10-12T10:43:26.863+0800] GC(11) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 74250752B, additional buffer size: 0B, predicted old gen allocation rate: 8887574.54B/s, predicted marking phase length: 989.23ms, prediction active: false
[2024-10-12T10:43:27.471+0800] GC(14) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 81474048B, recent allocation size: 6192B, recent allocation duration: 391.61ms, recent old gen allocation rate: 15811.70B/s, recent marking phase length: 494.62ms
[2024-10-12T10:43:27.471+0800] GC(14) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 81474048B, additional buffer size: 12582912B, predicted old gen allocation rate: 8612778.34B/s, predicted marking phase length: 989.23ms, prediction active: false
[2024-10-12T10:43:27.795+0800] GC(16) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 91493888B, recent allocation size: 6192B, recent allocation duration: 319.97ms, recent old gen allocation rate: 19351.58B/s, recent marking phase length: 494.62ms
[2024-10-12T10:43:27.795+0800] GC(16) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 91493888B, additional buffer size: 0B, predicted old gen allocation rate: 8340176.72B/s, predicted marking phase length: 989.23ms, prediction active: false
[2024-10-12T10:43:27.905+0800] GC(17) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 86367744B, recent allocation size: 28896B, recent allocation duration: 319.97ms, recent old gen allocation rate: 90307.36B/s, recent marking phase length: 423.35ms
[2024-10-12T10:43:27.905+0800] GC(17) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 86367744B, additional buffer size: 0B, predicted old gen allocation rate: 8340176.72B/s, predicted marking phase length: 859.34ms, prediction active: false
[2024-10-12T10:43:28.240+0800] GC(19) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 90562048B, recent allocation size: 4128B, recent allocation duration: 226.96ms, recent old gen allocation rate: 18187.92B/s, recent marking phase length: 423.35ms
[2024-10-12T10:43:28.240+0800] GC(19) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 90562048B, additional buffer size: 8388608B, predicted old gen allocation rate: 8071237.37B/s, predicted marking phase length: 859.34ms, prediction active: false
[2024-10-12T10:43:28.459+0800] GC(21) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 96853504B, recent allocation size: 6192B, recent allocation duration: 216.40ms, recent old gen allocation rate: 28613.98B/s, recent marking phase length: 423.35ms
[2024-10-12T10:43:28.459+0800] GC(21) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 96853504B, additional buffer size: 0B, predicted old gen allocation rate: 7807312.54B/s, predicted marking phase length: 859.34ms, prediction active: false
[2024-10-12T10:43:28.567+0800] GC(22) Basic information (value update), threshold: 108434931B (80.79), target occupancy: 134217728B, current occupancy: 94057472B, recent allocation size: 6192B, recent allocation duration: 216.40ms, recent old gen allocation rate: 28613.98B/s, recent marking phase length: 319.31ms
[2024-10-12T10:43:28.567+0800] GC(22) Adaptive IHOP information (value update), threshold: 108434931B (95.05), internal target occupancy: 114085068B, occupancy: 94057472B, additional buffer size: 0B, predicted old gen allocation rate: 7807312.54B/s, predicted marking phase length: 723.70ms, prediction active: true
[2024-10-12T10:43:28.944+0800] GC(25) Basic information (value update), threshold: 102330285B (76.24), target occupancy: 134217728B, current occupancy: 100348416B, recent allocation size: 6192B, recent allocation duration: 164.88ms, recent old gen allocation rate: 37554.76B/s, recent marking phase length: 319.31ms
[2024-10-12T10:43:28.944+0800] GC(25) Adaptive IHOP information (value update), threshold: 102330285B (89.70), internal target occupancy: 114085068B, occupancy: 100348416B, additional buffer size: 6291456B, predicted old gen allocation rate: 7549179.84B/s, predicted marking phase length: 723.70ms, prediction active: true
[2024-10-12T10:43:29.048+0800] GC(26) Basic information (value update), threshold: 102512611B (76.38), target occupancy: 134217728B, current occupancy: 104542720B, recent allocation size: 4128B, recent allocation duration: 102.88ms, recent old gen allocation rate: 40124.15B/s, recent marking phase length: 319.31ms
[2024-10-12T10:43:29.048+0800] GC(26) Adaptive IHOP information (value update), threshold: 102512611B (89.86), internal target occupancy: 114085068B, occupancy: 104542720B, additional buffer size: 6291456B, predicted old gen allocation rate: 7297243.71B/s, predicted marking phase length: 723.70ms, prediction active: true
[2024-10-12T10:43:29.154+0800] GC(27) Basic information (value update), threshold: 102690238B (76.51), target occupancy: 134217728B, current occupancy: 108273152B, recent allocation size: 4128B, recent allocation duration: 103.69ms, recent old gen allocation rate: 39811.95B/s, recent marking phase length: 319.31ms
[2024-10-12T10:43:29.154+0800] GC(27) Adaptive IHOP information (value update), threshold: 102690238B (90.01), internal target occupancy: 114085068B, occupancy: 108273152B, additional buffer size: 6291456B, predicted old gen allocation rate: 7051800.46B/s, predicted marking phase length: 723.70ms, prediction active: true
[2024-10-12T10:43:29.310+0800] GC(29) Basic information (value update), threshold: 109154700B (81.33), target occupancy: 134217728B, current occupancy: 112698368B, recent allocation size: 4128B, recent allocation duration: 153.28ms, recent old gen allocation rate: 26931.03B/s, recent marking phase length: 319.31ms
[2024-10-12T10:43:29.310+0800] GC(29) Adaptive IHOP information (value update), threshold: 109154700B (95.68), internal target occupancy: 114085068B, occupancy: 112698368B, additional buffer size: 0B, predicted old gen allocation rate: 6812741.28B/s, predicted marking phase length: 723.70ms, prediction active: true
[2024-10-12T10:43:29.415+0800] GC(30) Basic information (value update), threshold: 110072478B (82.01), target occupancy: 134217728B, current occupancy: 106640384B, recent allocation size: 167184B, recent allocation duration: 153.28ms, recent old gen allocation rate: 1090706.62B/s, recent marking phase length: 256.89ms
[2024-10-12T10:43:29.415+0800] GC(30) Adaptive IHOP information (value update), threshold: 110072478B (96.48), internal target occupancy: 114085068B, occupancy: 106640384B, additional buffer size: 0B, predicted old gen allocation rate: 6812741.28B/s, predicted marking phase length: 588.98ms, prediction active: true
[2024-10-12T10:43:29.836+0800] GC(34) Basic information (value update), threshold: 103917563B (77.42), target occupancy: 134217728B, current occupancy: 106639872B, recent allocation size: 4128B, recent allocation duration: 104.46ms, recent old gen allocation rate: 39518.12B/s, recent marking phase length: 256.89ms
[2024-10-12T10:43:29.836+0800] GC(34) Adaptive IHOP information (value update), threshold: 103917563B (91.09), internal target occupancy: 114085068B, occupancy: 106639872B, additional buffer size: 6291456B, predicted old gen allocation rate: 6580915.53B/s, predicted marking phase length: 588.98ms, prediction active: true
[2024-10-12T10:43:29.940+0800] GC(35) Basic information (value update), threshold: 104049651B (77.52), target occupancy: 134217728B, current occupancy: 110603264B, recent allocation size: 6192B, recent allocation duration: 102.78ms, recent old gen allocation rate: 60243.84B/s, recent marking phase length: 256.89ms
[2024-10-12T10:43:29.940+0800] GC(35) Adaptive IHOP information (value update), threshold: 104049651B (91.20), internal target occupancy: 114085068B, occupancy: 110603264B, additional buffer size: 6291456B, predicted old gen allocation rate: 6356651.14B/s, predicted marking phase length: 588.98ms, prediction active: true
[2024-10-12T10:43:30.045+0800] GC(36) Basic information (value update), threshold: 104177644B (77.62), target occupancy: 134217728B, current occupancy: 114562560B, recent allocation size: 6192B, recent allocation duration: 103.18ms, recent old gen allocation rate: 60009.87B/s, recent marking phase length: 256.89ms
[2024-10-12T10:43:30.045+0800] GC(36) Adaptive IHOP information (value update), threshold: 104177644B (91.32), internal target occupancy: 114085068B, occupancy: 114562560B, additional buffer size: 6291456B, predicted old gen allocation rate: 6139339.35B/s, predicted marking phase length: 588.98ms, prediction active: true
[2024-10-12T10:43:30.200+0800] GC(38) Basic information (value update), threshold: 110593378B (82.40), target occupancy: 134217728B, current occupancy: 116894720B, recent allocation size: 6192B, recent allocation duration: 153.00ms, recent old gen allocation rate: 40469.99B/s, recent marking phase length: 256.89ms
[2024-10-12T10:43:30.200+0800] GC(38) Adaptive IHOP information (value update), threshold: 110593378B (96.94), internal target occupancy: 114085068B, occupancy: 116894720B, additional buffer size: 0B, predicted old gen allocation rate: 5928336.05B/s, predicted marking phase length: 588.98ms, prediction active: true
[2024-10-12T10:43:30.305+0800] GC(39) Basic information (value update), threshold: 111126560B (82.80), target occupancy: 134217728B, current occupancy: 112698328B, recent allocation size: 2105408B, recent allocation duration: 153.00ms, recent old gen allocation rate: 13760634.06B/s, recent marking phase length: 256.30ms
[2024-10-12T10:43:30.305+0800] GC(39) Adaptive IHOP information (value update), threshold: 111126560B (97.41), internal target occupancy: 114085068B, occupancy: 112698328B, additional buffer size: 0B, predicted old gen allocation rate: 5928336.05B/s, predicted marking phase length: 499.05ms, prediction active: true
[2024-10-12T10:43:31.042+0800] GC(46) Basic information (value update), threshold: 104932906B (78.18), target occupancy: 134217728B, current occupancy: 111077336B, recent allocation size: 29904B, recent allocation duration: 102.38ms, recent old gen allocation rate: 292088.20B/s, recent marking phase length: 256.30ms
[2024-10-12T10:43:31.042+0800] GC(46) Adaptive IHOP information (value update), threshold: 104932906B (91.98), internal target occupancy: 114085068B, occupancy: 111077336B, additional buffer size: 6291456B, predicted old gen allocation rate: 5732356.51B/s, predicted marking phase length: 499.05ms, prediction active: true
[2024-10-12T10:43:31.147+0800] GC(47) Basic information (value update), threshold: 105031031B (78.25), target occupancy: 134217728B, current occupancy: 115261912B, recent allocation size: 7464B, recent allocation duration: 103.49ms, recent old gen allocation rate: 72124.40B/s, recent marking phase length: 256.30ms
[2024-10-12T10:43:31.147+0800] GC(47) Adaptive IHOP information (value update), threshold: 105031031B (92.06), internal target occupancy: 114085068B, occupancy: 115261912B, additional buffer size: 6291456B, predicted old gen allocation rate: 5535731.39B/s, predicted marking phase length: 499.05ms, prediction active: true
[2024-10-12T10:43:31.302+0800] GC(49) Basic information (value update), threshold: 111417838B (83.01), target occupancy: 134217728B, current occupancy: 118525912B, recent allocation size: 6192B, recent allocation duration: 152.77ms, recent old gen allocation rate: 40531.24B/s, recent marking phase length: 256.30ms
[2024-10-12T10:43:31.302+0800] GC(49) Adaptive IHOP information (value update), threshold: 111417838B (97.66), internal target occupancy: 114085068B, occupancy: 118525912B, additional buffer size: 0B, predicted old gen allocation rate: 5344664.94B/s, predicted marking phase length: 499.05ms, prediction active: true
[2024-10-12T10:43:31.367+0800] GC(50) Basic information (value update), threshold: 111443092B (83.03), target occupancy: 134217728B, current occupancy: 110840768B, recent allocation size: 10320B, recent allocation duration: 152.77ms, recent old gen allocation rate: 67552.07B/s, recent marking phase length: 216.01ms
[2024-10-12T10:43:31.367+0800] GC(50) Adaptive IHOP information (value update), threshold: 111443092B (97.68), internal target occupancy: 114085068B, occupancy: 110840768B, additional buffer size: 0B, predicted old gen allocation rate: 5344664.94B/s, predicted marking phase length: 494.32ms, prediction active: true
[2024-10-12T10:43:31.998+0800] GC(56) Basic information (value update), threshold: 105242887B (78.41), target occupancy: 134217728B, current occupancy: 107339264B, recent allocation size: 4128B, recent allocation duration: 103.11ms, recent old gen allocation rate: 40036.08B/s, recent marking phase length: 216.01ms
[2024-10-12T10:43:31.998+0800] GC(56) Adaptive IHOP information (value update), threshold: 105242887B (92.25), internal target occupancy: 114085068B, occupancy: 107339264B, additional buffer size: 6291456B, predicted old gen allocation rate: 5160065.82B/s, predicted marking phase length: 494.32ms, prediction active: true
[2024-10-12T10:43:32.101+0800] GC(57) Basic information (value update), threshold: 105330657B (78.48), target occupancy: 134217728B, current occupancy: 110834176B, recent allocation size: 6192B, recent allocation duration: 102.26ms, recent old gen allocation rate: 60549.43B/s, recent marking phase length: 216.01ms
[2024-10-12T10:43:32.101+0800] GC(57) Adaptive IHOP information (value update), threshold: 105330657B (92.33), internal target occupancy: 114085068B, occupancy: 110834176B, additional buffer size: 6291456B, predicted old gen allocation rate: 4982508.84B/s, predicted marking phase length: 494.32ms, prediction active: true
[2024-10-12T10:43:32.205+0800] GC(58) Basic information (value update), threshold: 105415731B (78.54), target occupancy: 134217728B, current occupancy: 114795520B, recent allocation size: 4128B, recent allocation duration: 102.97ms, recent old gen allocation rate: 40090.91B/s, recent marking phase length: 216.01ms
[2024-10-12T10:43:32.205+0800] GC(58) Adaptive IHOP information (value update), threshold: 105415731B (92.40), internal target occupancy: 114085068B, occupancy: 114795520B, additional buffer size: 6291456B, predicted old gen allocation rate: 4810405.89B/s, predicted marking phase length: 494.32ms, prediction active: true
[2024-10-12T10:43:32.361+0800] GC(60) Basic information (value update), threshold: 111789278B (83.29), target occupancy: 134217728B, current occupancy: 118756864B, recent allocation size: 6192B, recent allocation duration: 152.69ms, recent old gen allocation rate: 40553.56B/s, recent marking phase length: 216.01ms
[2024-10-12T10:43:32.361+0800] GC(60) Adaptive IHOP information (value update), threshold: 111789278B (97.99), internal target occupancy: 114085068B, occupancy: 118756864B, additional buffer size: 0B, predicted old gen allocation rate: 4644337.83B/s, predicted marking phase length: 494.32ms, prediction active: true
[2024-10-12T10:43:32.425+0800] GC(61) Basic information (value update), threshold: 111817788B (83.31), target occupancy: 134217728B, current occupancy: 111537712B, recent allocation size: 10320B, recent allocation duration: 152.69ms, recent old gen allocation rate: 67589.26B/s, recent marking phase length: 215.01ms
[2024-10-12T10:43:32.425+0800] GC(61) Adaptive IHOP information (value update), threshold: 111817788B (98.01), internal target occupancy: 114085068B, occupancy: 111537712B, additional buffer size: 0B, predicted old gen allocation rate: 4644337.83B/s, predicted marking phase length: 488.18ms, prediction active: true
[2024-10-12T10:43:33.053+0800] GC(67) Basic information (value update), threshold: 105604209B (78.68), target occupancy: 134217728B, current occupancy: 108737536B, recent allocation size: 2103344B, recent allocation duration: 103.49ms, recent old gen allocation rate: 20323511.49B/s, recent marking phase length: 215.01ms
[2024-10-12T10:43:33.053+0800] GC(67) Adaptive IHOP information (value update), threshold: 105604209B (92.57), internal target occupancy: 114085068B, occupancy: 108737536B, additional buffer size: 6291456B, predicted old gen allocation rate: 4484812.59B/s, predicted marking phase length: 488.18ms, prediction active: true
[2024-10-12T10:43:33.157+0800] GC(68) Basic information (value update), threshold: 105679309B (78.74), target occupancy: 134217728B, current occupancy: 112933888B, recent allocation size: 6192B, recent allocation duration: 102.27ms, recent old gen allocation rate: 60542.83B/s, recent marking phase length: 215.01ms
[2024-10-12T10:43:33.157+0800] GC(68) Adaptive IHOP information (value update), threshold: 105679309B (92.63), internal target occupancy: 114085068B, occupancy: 112933888B, additional buffer size: 6291456B, predicted old gen allocation rate: 4330976.82B/s, predicted marking phase length: 488.18ms, prediction active: true
[2024-10-12T10:43:33.261+0800] GC(69) Basic information (value update), threshold: 105752097B (78.79), target occupancy: 134217728B, current occupancy: 117126144B, recent allocation size: 4128B, recent allocation duration: 103.07ms, recent old gen allocation rate: 40049.45B/s, recent marking phase length: 215.01ms
[2024-10-12T10:43:33.261+0800] GC(69) Adaptive IHOP information (value update), threshold: 105752097B (92.70), internal target occupancy: 114085068B, occupancy: 117126144B, additional buffer size: 6291456B, predicted old gen allocation rate: 4181877.41B/s, predicted marking phase length: 488.18ms, prediction active: true
[2024-10-12T10:43:33.416+0800] GC(71) Basic information (value update), threshold: 112113969B (83.53), target occupancy: 134217728B, current occupancy: 120854016B, recent allocation size: 4128B, recent allocation duration: 152.48ms, recent old gen allocation rate: 27072.21B/s, recent marking phase length: 215.01ms
[2024-10-12T10:43:33.416+0800] GC(71) Adaptive IHOP information (value update), threshold: 112113969B (98.27), internal target occupancy: 114085068B, occupancy: 120854016B, additional buffer size: 0B, predicted old gen allocation rate: 4037635.41B/s, predicted marking phase length: 488.18ms, prediction active: true
[2024-10-12T10:43:33.479+0800] GC(72) Basic information (value update), threshold: 112141806B (83.55), target occupancy: 134217728B, current occupancy: 112255552B, recent allocation size: 20640B, recent allocation duration: 152.48ms, recent old gen allocation rate: 135361.03B/s, recent marking phase length: 214.14ms
[2024-10-12T10:43:33.479+0800] GC(72) Adaptive IHOP information (value update), threshold: 112141806B (98.30), internal target occupancy: 114085068B, occupancy: 112255552B, additional buffer size: 0B, predicted old gen allocation rate: 4037635.41B/s, predicted marking phase length: 481.29ms, prediction active: true
[2024-10-12T10:43:34.213+0800] GC(79) Basic information (value update), threshold: 105916681B (78.91), target occupancy: 134217728B, current occupancy: 111999488B, recent allocation size: 6192B, recent allocation duration: 103.10ms, recent old gen allocation rate: 60057.69B/s, recent marking phase length: 214.14ms
[2024-10-12T10:43:34.213+0800] GC(79) Adaptive IHOP information (value update), threshold: 105916681B (92.84), internal target occupancy: 114085068B, occupancy: 111999488B, additional buffer size: 6291456B, predicted old gen allocation rate: 3899816.04B/s, predicted marking phase length: 481.29ms, prediction active: true
[2024-10-12T10:43:34.316+0800] GC(80) Basic information (value update), threshold: 105980607B (78.96), target occupancy: 134217728B, current occupancy: 116193792B, recent allocation size: 6192B, recent allocation duration: 102.24ms, recent old gen allocation rate: 60562.12B/s, recent marking phase length: 214.14ms
[2024-10-12T10:43:34.316+0800] GC(80) Adaptive IHOP information (value update), threshold: 105980607B (92.90), internal target occupancy: 114085068B, occupancy: 116193792B, additional buffer size: 6291456B, predicted old gen allocation rate: 3766992.39B/s, predicted marking phase length: 481.29ms, prediction active: true
[2024-10-12T10:43:34.472+0800] GC(82) Basic information (value update), threshold: 112334295B (83.70), target occupancy: 134217728B, current occupancy: 119922176B, recent allocation size: 4128B, recent allocation duration: 153.17ms, recent old gen allocation rate: 26950.34B/s, recent marking phase length: 214.14ms
[2024-10-12T10:43:34.472+0800] GC(82) Adaptive IHOP information (value update), threshold: 112334295B (98.47), internal target occupancy: 114085068B, occupancy: 119922176B, additional buffer size: 0B, predicted old gen allocation rate: 3637688.75B/s, predicted marking phase length: 481.29ms, prediction active: true
[2024-10-12T10:43:34.535+0800] GC(83) Basic information (value update), threshold: 112360867B (83.72), target occupancy: 134217728B, current occupancy: 111776832B, recent allocation size: 35088B, recent allocation duration: 153.17ms, recent old gen allocation rate: 229077.90B/s, recent marking phase length: 214.76ms
[2024-10-12T10:43:34.535+0800] GC(83) Adaptive IHOP information (value update), threshold: 112360867B (98.49), internal target occupancy: 114085068B, occupancy: 111776832B, additional buffer size: 0B, predicted old gen allocation rate: 3637688.75B/s, predicted marking phase length: 473.98ms, prediction active: true
[2024-10-12T10:43:35.165+0800] GC(89) Basic information (value update), threshold: 106127860B (79.07), target occupancy: 134217728B, current occupancy: 103144960B, recent allocation size: 6192B, recent allocation duration: 102.17ms, recent old gen allocation rate: 60602.19B/s, recent marking phase length: 214.76ms
[2024-10-12T10:43:35.165+0800] GC(89) Adaptive IHOP information (value update), threshold: 106127860B (93.03), internal target occupancy: 114085068B, occupancy: 103144960B, additional buffer size: 6291456B, predicted old gen allocation rate: 3514373.78B/s, predicted marking phase length: 473.98ms, prediction active: true
[2024-10-12T10:43:35.227+0800] GC(90) Basic information (value update), threshold: 106184068B (79.11), target occupancy: 134217728B, current occupancy: 105940992B, recent allocation size: 4128B, recent allocation duration: 61.68ms, recent old gen allocation rate: 66921.81B/s, recent marking phase length: 214.76ms
[2024-10-12T10:43:35.227+0800] GC(90) Adaptive IHOP information (value update), threshold: 106184068B (93.07), internal target occupancy: 114085068B, occupancy: 105940992B, additional buffer size: 6291456B, predicted old gen allocation rate: 3395788.81B/s, predicted marking phase length: 473.98ms, prediction active: true
[2024-10-12T10:43:35.404+0800] GC(92) Basic information (value update), threshold: 112085686B (83.51), target occupancy: 134217728B, current occupancy: 112465408B, recent allocation size: 2103344B, recent allocation duration: 173.65ms, recent old gen allocation rate: 12112500.80B/s, recent marking phase length: 214.76ms
[2024-10-12T10:43:35.404+0800] GC(92) Adaptive IHOP information (value update), threshold: 112085686B (98.25), internal target occupancy: 114085068B, occupancy: 112465408B, additional buffer size: 0B, predicted old gen allocation rate: 4218260.35B/s, predicted marking phase length: 473.98ms, prediction active: true
[2024-10-12T10:43:35.508+0800] GC(93) Basic information (value update), threshold: 112112985B (83.53), target occupancy: 134217728B, current occupancy: 108038144B, recent allocation size: 22704B, recent allocation duration: 173.65ms, recent old gen allocation rate: 130745.24B/s, recent marking phase length: 276.59ms
[2024-10-12T10:43:35.508+0800] GC(93) Adaptive IHOP information (value update), threshold: 112112985B (98.27), internal target occupancy: 114085068B, occupancy: 108038144B, additional buffer size: 0B, predicted old gen allocation rate: 4218260.35B/s, predicted marking phase length: 467.51ms, prediction active: true
[2024-10-12T10:43:36.032+0800] GC(98) Basic information (value update), threshold: 105888818B (78.89), target occupancy: 134217728B, current occupancy: 110601216B, recent allocation size: 6192B, recent allocation duration: 102.29ms, recent old gen allocation rate: 60532.05B/s, recent marking phase length: 276.59ms
[2024-10-12T10:43:36.032+0800] GC(98) Adaptive IHOP information (value update), threshold: 105888818B (92.82), internal target occupancy: 114085068B, occupancy: 110601216B, additional buffer size: 6291456B, predicted old gen allocation rate: 4074331.43B/s, predicted marking phase length: 467.51ms, prediction active: true
[2024-10-12T10:43:36.136+0800] GC(99) Basic information (value update), threshold: 105954037B (78.94), target occupancy: 134217728B, current occupancy: 114795520B, recent allocation size: 4128B, recent allocation duration: 102.82ms, recent old gen allocation rate: 40146.04B/s, recent marking phase length: 276.59ms
[2024-10-12T10:43:36.136+0800] GC(99) Adaptive IHOP information (value update), threshold: 105954037B (92.87), internal target occupancy: 114085068B, occupancy: 114795520B, additional buffer size: 6291456B, predicted old gen allocation rate: 3934828.64B/s, predicted marking phase length: 467.51ms, prediction active: true
[2024-10-12T10:43:36.239+0800] GC(100) Basic information (value update), threshold: 106016525B (78.99), target occupancy: 134217728B, current occupancy: 118756864B, recent allocation size: 6192B, recent allocation duration: 102.27ms, recent old gen allocation rate: 60544.03B/s, recent marking phase length: 276.59ms
