[2024-10-12T10:37:12.887+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T10:37:13.080+0800] GC(0) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 9239040B, recent allocation size: 2097152B, recent allocation duration: 192.93ms, recent old gen allocation rate: 10870017.12B/s, recent marking phase length: 0.00ms
[2024-10-12T10:37:13.883+0800] GC(5) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 35103744B, additional buffer size: 14680064B, predicted old gen allocation rate: 10828099.36B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:37:14.224+0800] GC(6) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 44657664B, recent allocation size: 6192B, recent allocation duration: 333.70ms, recent old gen allocation rate: 18555.82B/s, recent marking phase length: 0.00ms
[2024-10-12T10:37:14.224+0800] GC(6) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 44657664B, additional buffer size: 29360128B, predicted old gen allocation rate: 10555886.67B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:37:14.982+0800] GC(7) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 66328064B, recent allocation size: 0B, recent allocation duration: 744.61ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 0.00ms
[2024-10-12T10:37:14.982+0800] GC(7) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 66328064B, additional buffer size: 18874368B, predicted old gen allocation rate: 10267258.88B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:37:15.174+0800] GC(8) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 71920640B, recent allocation size: 6192B, recent allocation duration: 186.70ms, recent old gen allocation rate: 33165.97B/s, recent marking phase length: 0.00ms
[2024-10-12T10:37:15.174+0800] GC(8) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 71920640B, additional buffer size: 16777216B, predicted old gen allocation rate: 9970626.66B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:37:15.571+0800] GC(10) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 82406400B, recent allocation size: 2101280B, recent allocation duration: 389.47ms, recent old gen allocation rate: 5395230.08B/s, recent marking phase length: 0.00ms
[2024-10-12T10:37:15.571+0800] GC(10) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 82406400B, additional buffer size: 0B, predicted old gen allocation rate: 9813357.58B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:37:15.681+0800] GC(11) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 73784832B, recent allocation size: 6192B, recent allocation duration: 389.47ms, recent old gen allocation rate: 15898.53B/s, recent marking phase length: 494.95ms
[2024-10-12T10:37:15.681+0800] GC(11) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 73784832B, additional buffer size: 0B, predicted old gen allocation rate: 9813357.58B/s, predicted marking phase length: 989.91ms, prediction active: false
[2024-10-12T10:37:16.228+0800] GC(14) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 82173440B, recent allocation size: 6192B, recent allocation duration: 330.32ms, recent old gen allocation rate: 18745.60B/s, recent marking phase length: 494.95ms
[2024-10-12T10:37:16.228+0800] GC(14) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 82173440B, additional buffer size: 10485760B, predicted old gen allocation rate: 9518924.15B/s, predicted marking phase length: 989.91ms, prediction active: false
[2024-10-12T10:37:16.509+0800] GC(16) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 89629696B, recent allocation size: 6192B, recent allocation duration: 278.28ms, recent old gen allocation rate: 22250.70B/s, recent marking phase length: 494.95ms
[2024-10-12T10:37:16.509+0800] GC(16) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 89629696B, additional buffer size: 0B, predicted old gen allocation rate: 9224532.84B/s, predicted marking phase length: 989.91ms, prediction active: false
[2024-10-12T10:37:16.619+0800] GC(17) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 84736512B, recent allocation size: 6192B, recent allocation duration: 278.28ms, recent old gen allocation rate: 22250.70B/s, recent marking phase length: 382.44ms
[2024-10-12T10:37:16.619+0800] GC(17) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 84736512B, additional buffer size: 0B, predicted old gen allocation rate: 9224532.84B/s, predicted marking phase length: 856.33ms, prediction active: false
[2024-10-12T10:37:17.059+0800] GC(20) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 92659200B, recent allocation size: 4128B, recent allocation duration: 227.19ms, recent old gen allocation rate: 18169.88B/s, recent marking phase length: 382.44ms
[2024-10-12T10:37:17.059+0800] GC(20) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 92659200B, additional buffer size: 8388608B, predicted old gen allocation rate: 8932403.33B/s, predicted marking phase length: 856.33ms, prediction active: false
[2024-10-12T10:37:17.278+0800] GC(22) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 99649536B, recent allocation size: 6192B, recent allocation duration: 216.42ms, recent old gen allocation rate: 28611.09B/s, recent marking phase length: 382.44ms
[2024-10-12T10:37:17.279+0800] GC(22) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 99649536B, additional buffer size: 0B, predicted old gen allocation rate: 8644461.89B/s, predicted marking phase length: 856.33ms, prediction active: false
[2024-10-12T10:37:17.384+0800] GC(23) Basic information (value update), threshold: 107850221B (80.35), target occupancy: 134217728B, current occupancy: 94057472B, recent allocation size: 8256B, recent allocation duration: 216.42ms, recent old gen allocation rate: 38148.12B/s, recent marking phase length: 319.46ms
[2024-10-12T10:37:17.384+0800] GC(23) Adaptive IHOP information (value update), threshold: 107850221B (94.53), internal target occupancy: 114085068B, occupancy: 94057472B, additional buffer size: 0B, predicted old gen allocation rate: 8644461.89B/s, predicted marking phase length: 721.25ms, prediction active: true
[2024-10-12T10:37:17.594+0800] GC(25) Basic information (value update), threshold: 101762205B (75.82), target occupancy: 134217728B, current occupancy: 98950656B, recent allocation size: 6192B, recent allocation duration: 102.84ms, recent old gen allocation rate: 60210.69B/s, recent marking phase length: 319.46ms
[2024-10-12T10:37:17.594+0800] GC(25) Adaptive IHOP information (value update), threshold: 101762205B (89.20), internal target occupancy: 114085068B, occupancy: 98950656B, additional buffer size: 6291456B, predicted old gen allocation rate: 8362397.00B/s, predicted marking phase length: 721.25ms, prediction active: true
[2024-10-12T10:37:17.699+0800] GC(26) Basic information (value update), threshold: 101961298B (75.97), target occupancy: 134217728B, current occupancy: 102446080B, recent allocation size: 6192B, recent allocation duration: 103.71ms, recent old gen allocation rate: 59705.33B/s, recent marking phase length: 319.46ms
[2024-10-12T10:37:17.699+0800] GC(26) Adaptive IHOP information (value update), threshold: 101961298B (89.37), internal target occupancy: 114085068B, occupancy: 102446080B, additional buffer size: 6291456B, predicted old gen allocation rate: 8086359.56B/s, predicted marking phase length: 721.25ms, prediction active: true
[2024-10-12T10:37:17.803+0800] GC(27) Basic information (value update), threshold: 102155990B (76.11), target occupancy: 134217728B, current occupancy: 107339264B, recent allocation size: 4128B, recent allocation duration: 102.86ms, recent old gen allocation rate: 40131.19B/s, recent marking phase length: 319.46ms
[2024-10-12T10:37:17.803+0800] GC(27) Adaptive IHOP information (value update), threshold: 102155990B (89.54), internal target occupancy: 114085068B, occupancy: 107339264B, additional buffer size: 6291456B, predicted old gen allocation rate: 7816423.89B/s, predicted marking phase length: 721.25ms, prediction active: true
[2024-10-12T10:37:17.960+0800] GC(29) Basic information (value update), threshold: 108637117B (80.94), target occupancy: 134217728B, current occupancy: 110836736B, recent allocation size: 6192B, recent allocation duration: 154.25ms, recent old gen allocation rate: 40142.26B/s, recent marking phase length: 319.46ms
[2024-10-12T10:37:17.960+0800] GC(29) Adaptive IHOP information (value update), threshold: 108637117B (95.22), internal target occupancy: 114085068B, occupancy: 110836736B, additional buffer size: 0B, predicted old gen allocation rate: 7553449.36B/s, predicted marking phase length: 721.25ms, prediction active: true
[2024-10-12T10:37:18.064+0800] GC(30) Basic information (value update), threshold: 109650663B (81.70), target occupancy: 134217728B, current occupancy: 104543232B, recent allocation size: 30960B, recent allocation duration: 154.25ms, recent old gen allocation rate: 200711.29B/s, recent marking phase length: 257.25ms
[2024-10-12T10:37:18.065+0800] GC(30) Adaptive IHOP information (value update), threshold: 109650663B (96.11), internal target occupancy: 114085068B, occupancy: 104543232B, additional buffer size: 0B, predicted old gen allocation rate: 7553449.36B/s, predicted marking phase length: 587.07ms, prediction active: true
[2024-10-12T10:37:18.380+0800] GC(33) Basic information (value update), threshold: 103509036B (77.12), target occupancy: 134217728B, current occupancy: 103144960B, recent allocation size: 6192B, recent allocation duration: 103.63ms, recent old gen allocation rate: 59753.37B/s, recent marking phase length: 257.25ms
[2024-10-12T10:37:18.380+0800] GC(33) Adaptive IHOP information (value update), threshold: 103509036B (90.73), internal target occupancy: 114085068B, occupancy: 103144960B, additional buffer size: 6291456B, predicted old gen allocation rate: 7298234.62B/s, predicted marking phase length: 587.07ms, prediction active: true
[2024-10-12T10:37:18.484+0800] GC(34) Basic information (value update), threshold: 103654862B (77.23), target occupancy: 134217728B, current occupancy: 107339264B, recent allocation size: 4128B, recent allocation duration: 102.89ms, recent old gen allocation rate: 40119.39B/s, recent marking phase length: 257.25ms
[2024-10-12T10:37:18.484+0800] GC(34) Adaptive IHOP information (value update), threshold: 103654862B (90.86), internal target occupancy: 114085068B, occupancy: 107339264B, additional buffer size: 6291456B, predicted old gen allocation rate: 7049838.02B/s, predicted marking phase length: 587.07ms, prediction active: true
[2024-10-12T10:37:18.589+0800] GC(35) Basic information (value update), threshold: 103795982B (77.33), target occupancy: 134217728B, current occupancy: 110603264B, recent allocation size: 6192B, recent allocation duration: 103.78ms, recent old gen allocation rate: 59667.14B/s, recent marking phase length: 257.25ms
[2024-10-12T10:37:18.589+0800] GC(35) Adaptive IHOP information (value update), threshold: 103795982B (90.98), internal target occupancy: 114085068B, occupancy: 110603264B, additional buffer size: 6291456B, predicted old gen allocation rate: 6809458.66B/s, predicted marking phase length: 587.07ms, prediction active: true
[2024-10-12T10:37:18.746+0800] GC(37) Basic information (value update), threshold: 110224529B (82.12), target occupancy: 134217728B, current occupancy: 112931328B, recent allocation size: 6192B, recent allocation duration: 153.96ms, recent old gen allocation rate: 40218.72B/s, recent marking phase length: 257.25ms
[2024-10-12T10:37:18.746+0800] GC(37) Adaptive IHOP information (value update), threshold: 110224529B (96.62), internal target occupancy: 114085068B, occupancy: 112931328B, additional buffer size: 0B, predicted old gen allocation rate: 6575940.78B/s, predicted marking phase length: 587.07ms, prediction active: true
[2024-10-12T10:37:18.852+0800] GC(38) Basic information (value update), threshold: 110808604B (82.56), target occupancy: 134217728B, current occupancy: 106662912B, recent allocation size: 346752B, recent allocation duration: 153.96ms, recent old gen allocation rate: 2252248.51B/s, recent marking phase length: 257.32ms
[2024-10-12T10:37:18.852+0800] GC(38) Adaptive IHOP information (value update), threshold: 110808604B (97.13), internal target occupancy: 114085068B, occupancy: 106662912B, additional buffer size: 0B, predicted old gen allocation rate: 6575940.78B/s, predicted marking phase length: 498.25ms, prediction active: true
[2024-10-12T10:37:19.165+0800] GC(41) Basic information (value update), threshold: 104629493B (77.96), target occupancy: 134217728B, current occupancy: 105708032B, recent allocation size: 6192B, recent allocation duration: 102.48ms, recent old gen allocation rate: 60421.34B/s, recent marking phase length: 257.32ms
[2024-10-12T10:37:19.165+0800] GC(41) Adaptive IHOP information (value update), threshold: 104629493B (91.71), internal target occupancy: 114085068B, occupancy: 105708032B, additional buffer size: 6291456B, predicted old gen allocation rate: 6350461.98B/s, predicted marking phase length: 498.25ms, prediction active: true
[2024-10-12T10:37:19.269+0800] GC(42) Basic information (value update), threshold: 104738193B (78.04), target occupancy: 134217728B, current occupancy: 109902336B, recent allocation size: 6192B, recent allocation duration: 103.22ms, recent old gen allocation rate: 59988.76B/s, recent marking phase length: 257.32ms
[2024-10-12T10:37:19.269+0800] GC(42) Adaptive IHOP information (value update), threshold: 104738193B (91.81), internal target occupancy: 114085068B, occupancy: 109902336B, additional buffer size: 6291456B, predicted old gen allocation rate: 6132299.20B/s, predicted marking phase length: 498.25ms, prediction active: true
[2024-10-12T10:37:19.373+0800] GC(43) Basic information (value update), threshold: 104843286B (78.11), target occupancy: 134217728B, current occupancy: 113863680B, recent allocation size: 6192B, recent allocation duration: 102.28ms, recent old gen allocation rate: 60541.90B/s, recent marking phase length: 257.32ms
[2024-10-12T10:37:19.373+0800] GC(43) Adaptive IHOP information (value update), threshold: 104843286B (91.90), internal target occupancy: 114085068B, occupancy: 113863680B, additional buffer size: 6291456B, predicted old gen allocation rate: 5921375.02B/s, predicted marking phase length: 498.25ms, prediction active: true
[2024-10-12T10:37:19.529+0800] GC(45) Basic information (value update), threshold: 111236638B (82.88), target occupancy: 134217728B, current occupancy: 118290944B, recent allocation size: 6192B, recent allocation duration: 153.73ms, recent old gen allocation rate: 40277.33B/s, recent marking phase length: 257.32ms
[2024-10-12T10:37:19.529+0800] GC(45) Adaptive IHOP information (value update), threshold: 111236638B (97.50), internal target occupancy: 114085068B, occupancy: 118290944B, additional buffer size: 0B, predicted old gen allocation rate: 5716866.36B/s, predicted marking phase length: 498.25ms, prediction active: true
[2024-10-12T10:37:19.633+0800] GC(46) Basic information (value update), threshold: 111266384B (82.90), target occupancy: 134217728B, current occupancy: 121552896B, recent allocation size: 4200496B, recent allocation duration: 153.73ms, recent old gen allocation rate: 27323118.22B/s, recent marking phase length: 256.23ms
[2024-10-12T10:37:19.633+0800] GC(46) Adaptive IHOP information (value update), threshold: 111266384B (97.53), internal target occupancy: 114085068B, occupancy: 121552896B, additional buffer size: 0B, predicted old gen allocation rate: 5716866.36B/s, predicted marking phase length: 493.05ms, prediction active: true
[2024-10-12T10:37:19.764+0800] GC(50) Basic information (value update), threshold: 105073003B (78.29), target occupancy: 134217728B, current occupancy: 125518768B, recent allocation size: 0B, recent allocation duration: 233.42ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 256.23ms
[2024-10-12T10:37:19.764+0800] GC(50) Adaptive IHOP information (value update), threshold: 105073003B (92.10), internal target occupancy: 114085068B, occupancy: 125518768B, additional buffer size: 6291456B, predicted old gen allocation rate: 5517950.92B/s, predicted marking phase length: 493.05ms, prediction active: true
[2024-10-12T10:37:19.878+0800] GC(52) Basic information (value update), threshold: 110733706B (82.50), target occupancy: 134217728B, current occupancy: 129019888B, recent allocation size: 2101280B, recent allocation duration: 111.93ms, recent old gen allocation rate: 18772446.32B/s, recent marking phase length: 256.23ms
[2024-10-12T10:37:19.878+0800] GC(52) Adaptive IHOP information (value update), threshold: 110733706B (97.06), internal target occupancy: 114085068B, occupancy: 129019888B, additional buffer size: 0B, predicted old gen allocation rate: 6797247.00B/s, predicted marking phase length: 493.05ms, prediction active: true
[2024-10-12T10:37:19.920+0800] GC(53) Basic information (value update), threshold: 110768888B (82.53), target occupancy: 134217728B, current occupancy: 128625144B, recent allocation size: 4194304B, recent allocation duration: 111.93ms, recent old gen allocation rate: 37471135.07B/s, recent marking phase length: 153.27ms
[2024-10-12T10:37:19.920+0800] GC(53) Adaptive IHOP information (value update), threshold: 110768888B (97.09), internal target occupancy: 114085068B, occupancy: 128625144B, additional buffer size: 0B, predicted old gen allocation rate: 6797247.00B/s, predicted marking phase length: 487.87ms, prediction active: true
[2024-10-12T10:37:20.212+0800] GC(56) Basic information (value update), threshold: 104592825B (77.93), target occupancy: 134217728B, current occupancy: 83753352B, recent allocation size: 0B, recent allocation duration: 445.47ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 153.27ms
[2024-10-12T10:37:20.212+0800] GC(56) Adaptive IHOP information (value update), threshold: 104592825B (91.68), internal target occupancy: 114085068B, occupancy: 83753352B, additional buffer size: 6291456B, predicted old gen allocation rate: 6560724.08B/s, predicted marking phase length: 487.87ms, prediction active: true
[2024-10-12T10:37:20.316+0800] GC(57) Basic information (value update), threshold: 104703249B (78.01), target occupancy: 134217728B, current occupancy: 87483272B, recent allocation size: 6192B, recent allocation duration: 102.56ms, recent old gen allocation rate: 60371.73B/s, recent marking phase length: 153.27ms
[2024-10-12T10:37:20.316+0800] GC(57) Adaptive IHOP information (value update), threshold: 104703249B (91.78), internal target occupancy: 114085068B, occupancy: 87483272B, additional buffer size: 6291456B, predicted old gen allocation rate: 6334385.27B/s, predicted marking phase length: 487.87ms, prediction active: true
[2024-10-12T10:37:20.420+0800] GC(58) Basic information (value update), threshold: 104809838B (78.09), target occupancy: 134217728B, current occupancy: 91442568B, recent allocation size: 6192B, recent allocation duration: 103.07ms, recent old gen allocation rate: 60073.59B/s, recent marking phase length: 153.27ms
[2024-10-12T10:37:20.420+0800] GC(58) Adaptive IHOP information (value update), threshold: 104809838B (91.87), internal target occupancy: 114085068B, occupancy: 91442568B, additional buffer size: 6291456B, predicted old gen allocation rate: 6115908.12B/s, predicted marking phase length: 487.87ms, prediction active: true
[2024-10-12T10:37:20.523+0800] GC(59) Basic information (value update), threshold: 104912682B (78.17), target occupancy: 134217728B, current occupancy: 95403912B, recent allocation size: 6192B, recent allocation duration: 102.40ms, recent old gen allocation rate: 60466.22B/s, recent marking phase length: 153.27ms
[2024-10-12T10:37:20.523+0800] GC(59) Adaptive IHOP information (value update), threshold: 104912682B (91.96), internal target occupancy: 114085068B, occupancy: 95403912B, additional buffer size: 6291456B, predicted old gen allocation rate: 5905105.70B/s, predicted marking phase length: 487.87ms, prediction active: true
[2024-10-12T10:37:20.680+0800] GC(61) Basic information (value update), threshold: 111303705B (82.93), target occupancy: 134217728B, current occupancy: 99132296B, recent allocation size: 6192B, recent allocation duration: 153.75ms, recent old gen allocation rate: 40274.36B/s, recent marking phase length: 153.27ms
[2024-10-12T10:37:20.680+0800] GC(61) Adaptive IHOP information (value update), threshold: 111303705B (97.56), internal target occupancy: 114085068B, occupancy: 99132296B, additional buffer size: 0B, predicted old gen allocation rate: 5701020.97B/s, predicted marking phase length: 487.87ms, prediction active: true
[2024-10-12T10:37:20.784+0800] GC(62) Basic information (value update), threshold: 111342392B (82.96), target occupancy: 134217728B, current occupancy: 98896104B, recent allocation size: 8256B, recent allocation duration: 153.75ms, recent old gen allocation rate: 53699.14B/s, recent marking phase length: 256.10ms
[2024-10-12T10:37:20.784+0800] GC(62) Adaptive IHOP information (value update), threshold: 111342392B (97.60), internal target occupancy: 114085068B, occupancy: 98896104B, additional buffer size: 0B, predicted old gen allocation rate: 5701020.97B/s, predicted marking phase length: 481.09ms, prediction active: true
[2024-10-12T10:37:20.888+0800] GC(63) Basic information (value update), threshold: 105145638B (78.34), target occupancy: 134217728B, current occupancy: 103090408B, recent allocation size: 4128B, recent allocation duration: 103.13ms, recent old gen allocation rate: 40026.41B/s, recent marking phase length: 256.10ms
[2024-10-12T10:37:20.888+0800] GC(63) Adaptive IHOP information (value update), threshold: 105145638B (92.16), internal target occupancy: 114085068B, occupancy: 103090408B, additional buffer size: 6291456B, predicted old gen allocation rate: 5504169.80B/s, predicted marking phase length: 481.09ms, prediction active: true
[2024-10-12T10:37:20.991+0800] GC(64) Basic information (value update), threshold: 105236599B (78.41), target occupancy: 134217728B, current occupancy: 107284712B, recent allocation size: 6192B, recent allocation duration: 102.40ms, recent old gen allocation rate: 60470.10B/s, recent marking phase length: 256.10ms
[2024-10-12T10:37:20.991+0800] GC(64) Adaptive IHOP information (value update), threshold: 105236599B (92.24), internal target occupancy: 114085068B, occupancy: 107284712B, additional buffer size: 6291456B, predicted old gen allocation rate: 5315095.52B/s, predicted marking phase length: 481.09ms, prediction active: true
[2024-10-12T10:37:21.147+0800] GC(66) Basic information (value update), threshold: 111616114B (83.16), target occupancy: 134217728B, current occupancy: 111479016B, recent allocation size: 6192B, recent allocation duration: 153.36ms, recent old gen allocation rate: 40376.34B/s, recent marking phase length: 256.10ms
[2024-10-12T10:37:21.147+0800] GC(66) Adaptive IHOP information (value update), threshold: 111616114B (97.84), internal target occupancy: 114085068B, occupancy: 111479016B, additional buffer size: 0B, predicted old gen allocation rate: 5132054.31B/s, predicted marking phase length: 481.09ms, prediction active: true
[2024-10-12T10:37:21.210+0800] GC(67) Basic information (value update), threshold: 111653592B (83.19), target occupancy: 134217728B, current occupancy: 103327808B, recent allocation size: 10320B, recent allocation duration: 153.36ms, recent old gen allocation rate: 67293.90B/s, recent marking phase length: 215.06ms
[2024-10-12T10:37:21.210+0800] GC(67) Adaptive IHOP information (value update), threshold: 111653592B (97.87), internal target occupancy: 114085068B, occupancy: 103327808B, additional buffer size: 0B, predicted old gen allocation rate: 5132054.31B/s, predicted marking phase length: 473.78ms, prediction active: true
[2024-10-12T10:37:21.523+0800] GC(70) Basic information (value update), threshold: 105445378B (78.56), target occupancy: 134217728B, current occupancy: 106582944B, recent allocation size: 6192B, recent allocation duration: 102.35ms, recent old gen allocation rate: 60495.93B/s, recent marking phase length: 215.06ms
[2024-10-12T10:37:21.523+0800] GC(70) Adaptive IHOP information (value update), threshold: 105445378B (92.43), internal target occupancy: 114085068B, occupancy: 106582944B, additional buffer size: 6291456B, predicted old gen allocation rate: 4956356.76B/s, predicted marking phase length: 473.78ms, prediction active: true
[2024-10-12T10:37:21.628+0800] GC(71) Basic information (value update), threshold: 105525622B (78.62), target occupancy: 134217728B, current occupancy: 110544288B, recent allocation size: 6192B, recent allocation duration: 103.14ms, recent old gen allocation rate: 60037.17B/s, recent marking phase length: 215.06ms
[2024-10-12T10:37:21.628+0800] GC(71) Adaptive IHOP information (value update), threshold: 105525622B (92.50), internal target occupancy: 114085068B, occupancy: 110544288B, additional buffer size: 6291456B, predicted old gen allocation rate: 4786987.92B/s, predicted marking phase length: 473.78ms, prediction active: true
[2024-10-12T10:37:21.783+0800] GC(73) Basic information (value update), threshold: 111894770B (83.37), target occupancy: 134217728B, current occupancy: 114738592B, recent allocation size: 6192B, recent allocation duration: 152.50ms, recent old gen allocation rate: 40604.50B/s, recent marking phase length: 215.06ms
[2024-10-12T10:37:21.783+0800] GC(73) Adaptive IHOP information (value update), threshold: 111894770B (98.08), internal target occupancy: 114085068B, occupancy: 114738592B, additional buffer size: 0B, predicted old gen allocation rate: 4623005.54B/s, predicted marking phase length: 473.78ms, prediction active: true
[2024-10-12T10:37:21.847+0800] GC(74) Basic information (value update), threshold: 111929475B (83.39), target occupancy: 134217728B, current occupancy: 106981160B, recent allocation size: 76368B, recent allocation duration: 152.50ms, recent old gen allocation rate: 500788.88B/s, recent marking phase length: 214.89ms
[2024-10-12T10:37:21.847+0800] GC(74) Adaptive IHOP information (value update), threshold: 111929475B (98.11), internal target occupancy: 114085068B, occupancy: 106981160B, additional buffer size: 0B, predicted old gen allocation rate: 4623005.54B/s, predicted marking phase length: 466.28ms, prediction active: true
[2024-10-12T10:37:22.160+0800] GC(77) Basic information (value update), threshold: 105711347B (78.76), target occupancy: 134217728B, current occupancy: 107570648B, recent allocation size: 6192B, recent allocation duration: 102.43ms, recent old gen allocation rate: 60453.70B/s, recent marking phase length: 214.89ms
[2024-10-12T10:37:22.160+0800] GC(77) Adaptive IHOP information (value update), threshold: 105711347B (92.66), internal target occupancy: 114085068B, occupancy: 107570648B, additional buffer size: 6291456B, predicted old gen allocation rate: 4465741.12B/s, predicted marking phase length: 466.28ms, prediction active: true
[2024-10-12T10:37:22.265+0800] GC(78) Basic information (value update), threshold: 105782382B (78.81), target occupancy: 134217728B, current occupancy: 111764952B, recent allocation size: 4128B, recent allocation duration: 103.07ms, recent old gen allocation rate: 40051.38B/s, recent marking phase length: 214.89ms
[2024-10-12T10:37:22.265+0800] GC(78) Adaptive IHOP information (value update), threshold: 105782382B (92.72), internal target occupancy: 114085068B, occupancy: 111764952B, additional buffer size: 6291456B, predicted old gen allocation rate: 4313395.50B/s, predicted marking phase length: 466.28ms, prediction active: true
[2024-10-12T10:37:22.368+0800] GC(79) Basic information (value update), threshold: 105850458B (78.86), target occupancy: 134217728B, current occupancy: 115493336B, recent allocation size: 6192B, recent allocation duration: 102.48ms, recent old gen allocation rate: 60419.41B/s, recent marking phase length: 214.89ms
