[2024-10-12T11:23:42.954+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T11:23:43.143+0800] GC(0) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 9006080B, recent allocation size: 2097152B, recent allocation duration: 187.19ms, recent old gen allocation rate: 11203312.50B/s, recent marking phase length: 0.00ms
[2024-10-12T11:23:44.007+0800] GC(5) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 36734976B, additional buffer size: 14680064B, predicted old gen allocation rate: 11152446.17B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:23:44.347+0800] GC(6) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 47453696B, recent allocation size: 6192B, recent allocation duration: 332.23ms, recent old gen allocation rate: 18637.86B/s, recent marking phase length: 0.00ms
[2024-10-12T11:23:44.347+0800] GC(6) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 47453696B, additional buffer size: 18874368B, predicted old gen allocation rate: 10872420.28B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:23:44.794+0800] GC(7) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 58871808B, recent allocation size: 0B, recent allocation duration: 439.61ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 0.00ms
[2024-10-12T11:23:44.794+0800] GC(7) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 58871808B, additional buffer size: 20971520B, predicted old gen allocation rate: 10575369.10B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:23:45.221+0800] GC(8) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 71687680B, recent allocation size: 6192B, recent allocation duration: 416.39ms, recent old gen allocation rate: 14870.50B/s, recent marking phase length: 0.00ms
[2024-10-12T11:23:45.221+0800] GC(8) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 71687680B, additional buffer size: 16777216B, predicted old gen allocation rate: 10269780.90B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:23:45.619+0800] GC(10) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 84270592B, recent allocation size: 2105408B, recent allocation duration: 388.93ms, recent old gen allocation rate: 5413349.84B/s, recent marking phase length: 0.00ms
[2024-10-12T11:23:45.619+0800] GC(10) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 84270592B, additional buffer size: 0B, predicted old gen allocation rate: 9960950.96B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:23:45.728+0800] GC(11) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 74951680B, recent allocation size: 214656B, recent allocation duration: 388.93ms, recent old gen allocation rate: 551915.84B/s, recent marking phase length: 494.28ms
[2024-10-12T11:23:45.728+0800] GC(11) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 74951680B, additional buffer size: 0B, predicted old gen allocation rate: 9960950.96B/s, predicted marking phase length: 988.55ms, prediction active: false
[2024-10-12T11:23:46.273+0800] GC(14) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 81008128B, recent allocation size: 4128B, recent allocation duration: 330.24ms, recent old gen allocation rate: 12500.16B/s, recent marking phase length: 494.28ms
[2024-10-12T11:23:46.273+0800] GC(14) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 81008128B, additional buffer size: 12582912B, predicted old gen allocation rate: 9652159.05B/s, predicted marking phase length: 988.55ms, prediction active: false
[2024-10-12T11:23:46.598+0800] GC(16) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 91495936B, recent allocation size: 6192B, recent allocation duration: 319.46ms, recent old gen allocation rate: 19382.52B/s, recent marking phase length: 494.28ms
[2024-10-12T11:23:46.598+0800] GC(16) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 91495936B, additional buffer size: 0B, predicted old gen allocation rate: 9346050.64B/s, predicted marking phase length: 988.55ms, prediction active: false
[2024-10-12T11:23:46.707+0800] GC(17) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 84503552B, recent allocation size: 8256B, recent allocation duration: 319.46ms, recent old gen allocation rate: 25843.36B/s, recent marking phase length: 423.49ms
[2024-10-12T11:23:46.707+0800] GC(17) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 84503552B, additional buffer size: 0B, predicted old gen allocation rate: 9346050.64B/s, predicted marking phase length: 858.79ms, prediction active: false
[2024-10-12T11:23:47.147+0800] GC(20) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 92659200B, recent allocation size: 4128B, recent allocation duration: 226.89ms, recent old gen allocation rate: 18193.52B/s, recent marking phase length: 423.49ms
[2024-10-12T11:23:47.147+0800] GC(20) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 92659200B, additional buffer size: 8388608B, predicted old gen allocation rate: 9044182.56B/s, predicted marking phase length: 858.79ms, prediction active: false
[2024-10-12T11:23:47.366+0800] GC(22) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 98950656B, recent allocation size: 6192B, recent allocation duration: 215.92ms, recent old gen allocation rate: 28676.70B/s, recent marking phase length: 423.49ms
[2024-10-12T11:23:47.366+0800] GC(22) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 98950656B, additional buffer size: 0B, predicted old gen allocation rate: 8748011.15B/s, predicted marking phase length: 858.79ms, prediction active: false
[2024-10-12T11:23:47.474+0800] GC(23) Basic information (value update), threshold: 107758451B (80.29), target occupancy: 134217728B, current occupancy: 94756352B, recent allocation size: 6192B, recent allocation duration: 215.92ms, recent old gen allocation rate: 28676.70B/s, recent marking phase length: 318.73ms
[2024-10-12T11:23:47.474+0800] GC(23) Adaptive IHOP information (value update), threshold: 107758451B (94.45), internal target occupancy: 114085068B, occupancy: 94756352B, additional buffer size: 0B, predicted old gen allocation rate: 8748011.15B/s, predicted marking phase length: 723.21ms, prediction active: true
[2024-10-12T11:23:47.790+0800] GC(26) Basic information (value update), threshold: 101676068B (75.75), target occupancy: 134217728B, current occupancy: 101047808B, recent allocation size: 6192B, recent allocation duration: 103.55ms, recent old gen allocation rate: 59796.26B/s, recent marking phase length: 318.73ms
[2024-10-12T11:23:47.790+0800] GC(26) Adaptive IHOP information (value update), threshold: 101676068B (89.12), internal target occupancy: 114085068B, occupancy: 101047808B, additional buffer size: 6291456B, predicted old gen allocation rate: 8458919.60B/s, predicted marking phase length: 723.21ms, prediction active: true
[2024-10-12T11:23:47.894+0800] GC(27) Basic information (value update), threshold: 101880470B (75.91), target occupancy: 134217728B, current occupancy: 104309760B, recent allocation size: 4128B, recent allocation duration: 102.88ms, recent old gen allocation rate: 40126.35B/s, recent marking phase length: 318.73ms
[2024-10-12T11:23:47.894+0800] GC(27) Adaptive IHOP information (value update), threshold: 101880470B (89.30), internal target occupancy: 114085068B, occupancy: 104309760B, additional buffer size: 6291456B, predicted old gen allocation rate: 8176287.19B/s, predicted marking phase length: 723.21ms, prediction active: true
[2024-10-12T11:23:47.999+0800] GC(28) Basic information (value update), threshold: 102079577B (76.06), target occupancy: 134217728B, current occupancy: 108737024B, recent allocation size: 4128B, recent allocation duration: 103.68ms, recent old gen allocation rate: 39815.67B/s, recent marking phase length: 318.73ms
[2024-10-12T11:23:47.999+0800] GC(28) Adaptive IHOP information (value update), threshold: 102079577B (89.48), internal target occupancy: 114085068B, occupancy: 108737024B, additional buffer size: 6291456B, predicted old gen allocation rate: 7900975.87B/s, predicted marking phase length: 723.21ms, prediction active: true
[2024-10-12T11:23:48.155+0800] GC(30) Basic information (value update), threshold: 108564640B (80.89), target occupancy: 134217728B, current occupancy: 110834176B, recent allocation size: 6192B, recent allocation duration: 153.28ms, recent old gen allocation rate: 40396.34B/s, recent marking phase length: 318.73ms
[2024-10-12T11:23:48.155+0800] GC(30) Adaptive IHOP information (value update), threshold: 108564640B (95.16), internal target occupancy: 114085068B, occupancy: 110834176B, additional buffer size: 0B, predicted old gen allocation rate: 7633269.09B/s, predicted marking phase length: 723.21ms, prediction active: true
[2024-10-12T11:23:48.260+0800] GC(31) Basic information (value update), threshold: 109592158B (81.65), target occupancy: 134217728B, current occupancy: 105940992B, recent allocation size: 6192B, recent allocation duration: 153.28ms, recent old gen allocation rate: 40396.34B/s, recent marking phase length: 256.92ms
[2024-10-12T11:23:48.260+0800] GC(31) Adaptive IHOP information (value update), threshold: 109592158B (96.06), internal target occupancy: 114085068B, occupancy: 105940992B, additional buffer size: 0B, predicted old gen allocation rate: 7633269.09B/s, predicted marking phase length: 588.60ms, prediction active: true
[2024-10-12T11:23:48.681+0800] GC(35) Basic information (value update), threshold: 103453728B (77.08), target occupancy: 134217728B, current occupancy: 107339264B, recent allocation size: 4128B, recent allocation duration: 103.83ms, recent old gen allocation rate: 39758.31B/s, recent marking phase length: 256.92ms
[2024-10-12T11:23:48.681+0800] GC(35) Adaptive IHOP information (value update), threshold: 103453728B (90.68), internal target occupancy: 114085068B, occupancy: 107339264B, additional buffer size: 6291456B, predicted old gen allocation rate: 7373285.04B/s, predicted marking phase length: 588.60ms, prediction active: true
[2024-10-12T11:23:48.785+0800] GC(36) Basic information (value update), threshold: 103601804B (77.19), target occupancy: 134217728B, current occupancy: 110601216B, recent allocation size: 6192B, recent allocation duration: 103.21ms, recent old gen allocation rate: 59996.52B/s, recent marking phase length: 256.92ms
[2024-10-12T11:23:48.785+0800] GC(36) Adaptive IHOP information (value update), threshold: 103601804B (90.81), internal target occupancy: 114085068B, occupancy: 110601216B, additional buffer size: 6291456B, predicted old gen allocation rate: 7121710.69B/s, predicted marking phase length: 588.60ms, prediction active: true
[2024-10-12T11:23:48.890+0800] GC(37) Basic information (value update), threshold: 103745636B (77.30), target occupancy: 134217728B, current occupancy: 114562560B, recent allocation size: 4128B, recent allocation duration: 103.24ms, recent old gen allocation rate: 39983.03B/s, recent marking phase length: 256.92ms
[2024-10-12T11:23:48.890+0800] GC(37) Adaptive IHOP information (value update), threshold: 103745636B (90.94), internal target occupancy: 114085068B, occupancy: 114562560B, additional buffer size: 6291456B, predicted old gen allocation rate: 6877345.11B/s, predicted marking phase length: 588.60ms, prediction active: true
[2024-10-12T11:23:49.046+0800] GC(39) Basic information (value update), threshold: 110176343B (82.09), target occupancy: 134217728B, current occupancy: 115727872B, recent allocation size: 6192B, recent allocation duration: 153.06ms, recent old gen allocation rate: 40455.62B/s, recent marking phase length: 256.92ms
[2024-10-12T11:23:49.046+0800] GC(39) Adaptive IHOP information (value update), threshold: 110176343B (96.57), internal target occupancy: 114085068B, occupancy: 115727872B, additional buffer size: 0B, predicted old gen allocation rate: 6640763.68B/s, predicted marking phase length: 588.60ms, prediction active: true
[2024-10-12T11:23:49.150+0800] GC(40) Basic information (value update), threshold: 110773251B (82.53), target occupancy: 134217728B, current occupancy: 110834688B, recent allocation size: 10320B, recent allocation duration: 153.06ms, recent old gen allocation rate: 67426.04B/s, recent marking phase length: 256.30ms
[2024-10-12T11:23:49.150+0800] GC(40) Adaptive IHOP information (value update), threshold: 110773251B (97.10), internal target occupancy: 114085068B, occupancy: 110834688B, additional buffer size: 0B, predicted old gen allocation rate: 6640763.68B/s, predicted marking phase length: 498.71ms, prediction active: true
[2024-10-12T11:23:49.883+0800] GC(47) Basic information (value update), threshold: 104595628B (77.93), target occupancy: 134217728B, current occupancy: 114096640B, recent allocation size: 6192B, recent allocation duration: 102.41ms, recent old gen allocation rate: 60465.62B/s, recent marking phase length: 256.30ms
[2024-10-12T11:23:49.883+0800] GC(47) Adaptive IHOP information (value update), threshold: 104595628B (91.68), internal target occupancy: 114085068B, occupancy: 114096640B, additional buffer size: 6291456B, predicted old gen allocation rate: 6412507.99B/s, predicted marking phase length: 498.71ms, prediction active: true
[2024-10-12T11:23:50.039+0800] GC(49) Basic information (value update), threshold: 110997691B (82.70), target occupancy: 134217728B, current occupancy: 117825024B, recent allocation size: 4128B, recent allocation duration: 153.73ms, recent old gen allocation rate: 26852.97B/s, recent marking phase length: 256.30ms
[2024-10-12T11:23:50.039+0800] GC(49) Adaptive IHOP information (value update), threshold: 110997691B (97.29), internal target occupancy: 114085068B, occupancy: 117825024B, additional buffer size: 0B, predicted old gen allocation rate: 6190722.42B/s, predicted marking phase length: 498.71ms, prediction active: true
[2024-10-12T11:23:50.102+0800] GC(50) Basic information (value update), threshold: 111026868B (82.72), target occupancy: 134217728B, current occupancy: 112005696B, recent allocation size: 6192B, recent allocation duration: 153.73ms, recent old gen allocation rate: 40279.46B/s, recent marking phase length: 215.44ms
[2024-10-12T11:23:50.102+0800] GC(50) Adaptive IHOP information (value update), threshold: 111026868B (97.32), internal target occupancy: 114085068B, occupancy: 112005696B, additional buffer size: 0B, predicted old gen allocation rate: 6190722.42B/s, predicted marking phase length: 494.00ms, prediction active: true
[2024-10-12T11:23:50.941+0800] GC(58) Basic information (value update), threshold: 104840746B (78.11), target occupancy: 134217728B, current occupancy: 112931328B, recent allocation size: 6192B, recent allocation duration: 102.44ms, recent old gen allocation rate: 60448.01B/s, recent marking phase length: 215.44ms
[2024-10-12T11:23:50.941+0800] GC(58) Adaptive IHOP information (value update), threshold: 104840746B (91.90), internal target occupancy: 114085068B, occupancy: 112931328B, additional buffer size: 6291456B, predicted old gen allocation rate: 5977494.05B/s, predicted marking phase length: 494.00ms, prediction active: true
[2024-10-12T11:23:51.046+0800] GC(59) Basic information (value update), threshold: 104942496B (78.19), target occupancy: 134217728B, current occupancy: 116894720B, recent allocation size: 6192B, recent allocation duration: 103.12ms, recent old gen allocation rate: 60047.08B/s, recent marking phase length: 215.44ms
[2024-10-12T11:23:51.046+0800] GC(59) Adaptive IHOP information (value update), threshold: 104942496B (91.99), internal target occupancy: 114085068B, occupancy: 116894720B, additional buffer size: 6291456B, predicted old gen allocation rate: 5771521.98B/s, predicted marking phase length: 494.00ms, prediction active: true
[2024-10-12T11:23:51.201+0800] GC(61) Basic information (value update), threshold: 111332756B (82.95), target occupancy: 134217728B, current occupancy: 120854016B, recent allocation size: 4128B, recent allocation duration: 152.72ms, recent old gen allocation rate: 27029.91B/s, recent marking phase length: 215.44ms
[2024-10-12T11:23:51.201+0800] GC(61) Adaptive IHOP information (value update), threshold: 111332756B (97.59), internal target occupancy: 114085068B, occupancy: 120854016B, additional buffer size: 0B, predicted old gen allocation rate: 5571512.79B/s, predicted marking phase length: 494.00ms, prediction active: true
[2024-10-12T11:23:51.264+0800] GC(62) Basic information (value update), threshold: 111366940B (82.97), target occupancy: 134217728B, current occupancy: 113168944B, recent allocation size: 6192B, recent allocation duration: 152.72ms, recent old gen allocation rate: 40544.86B/s, recent marking phase length: 214.41ms
[2024-10-12T11:23:51.264+0800] GC(62) Adaptive IHOP information (value update), threshold: 111366940B (97.62), internal target occupancy: 114085068B, occupancy: 113168944B, additional buffer size: 0B, predicted old gen allocation rate: 5571512.79B/s, predicted marking phase length: 487.86ms, prediction active: true
[2024-10-12T11:23:52.000+0800] GC(69) Basic information (value update), threshold: 105169116B (78.36), target occupancy: 134217728B, current occupancy: 108739584B, recent allocation size: 2103344B, recent allocation duration: 103.63ms, recent old gen allocation rate: 20295730.58B/s, recent marking phase length: 214.41ms
[2024-10-12T11:23:52.000+0800] GC(69) Adaptive IHOP information (value update), threshold: 105169116B (92.18), internal target occupancy: 114085068B, occupancy: 108739584B, additional buffer size: 6291456B, predicted old gen allocation rate: 5379589.85B/s, predicted marking phase length: 487.86ms, prediction active: true
[2024-10-12T11:23:52.103+0800] GC(70) Basic information (value update), threshold: 105259800B (78.42), target occupancy: 134217728B, current occupancy: 112465408B, recent allocation size: 4128B, recent allocation duration: 102.45ms, recent old gen allocation rate: 40293.95B/s, recent marking phase length: 214.41ms
[2024-10-12T11:23:52.103+0800] GC(70) Adaptive IHOP information (value update), threshold: 105259800B (92.26), internal target occupancy: 114085068B, occupancy: 112465408B, additional buffer size: 6291456B, predicted old gen allocation rate: 5193709.26B/s, predicted marking phase length: 487.86ms, prediction active: true
[2024-10-12T11:23:52.208+0800] GC(71) Basic information (value update), threshold: 105346937B (78.49), target occupancy: 134217728B, current occupancy: 116661760B, recent allocation size: 6192B, recent allocation duration: 103.11ms, recent old gen allocation rate: 60052.49B/s, recent marking phase length: 214.41ms
[2024-10-12T11:23:52.208+0800] GC(71) Adaptive IHOP information (value update), threshold: 105346937B (92.34), internal target occupancy: 114085068B, occupancy: 116661760B, additional buffer size: 6291456B, predicted old gen allocation rate: 5015098.47B/s, predicted marking phase length: 487.86ms, prediction active: true
[2024-10-12T11:23:52.363+0800] GC(73) Basic information (value update), threshold: 111723020B (83.24), target occupancy: 134217728B, current occupancy: 120854016B, recent allocation size: 4128B, recent allocation duration: 152.54ms, recent old gen allocation rate: 27061.65B/s, recent marking phase length: 214.41ms
[2024-10-12T11:23:52.363+0800] GC(73) Adaptive IHOP information (value update), threshold: 111723020B (97.93), internal target occupancy: 114085068B, occupancy: 120854016B, additional buffer size: 0B, predicted old gen allocation rate: 4841634.25B/s, predicted marking phase length: 487.86ms, prediction active: true
[2024-10-12T11:23:52.428+0800] GC(74) Basic information (value update), threshold: 111756365B (83.26), target occupancy: 134217728B, current occupancy: 113636928B, recent allocation size: 8256B, recent allocation duration: 152.54ms, recent old gen allocation rate: 54123.30B/s, recent marking phase length: 216.48ms
[2024-10-12T11:23:52.428+0800] GC(74) Adaptive IHOP information (value update), threshold: 111756365B (97.96), internal target occupancy: 114085068B, occupancy: 113636928B, additional buffer size: 0B, predicted old gen allocation rate: 4841634.25B/s, predicted marking phase length: 480.97ms, prediction active: true
[2024-10-12T11:23:53.163+0800] GC(81) Basic information (value update), threshold: 105544772B (78.64), target occupancy: 134217728B, current occupancy: 111999488B, recent allocation size: 6192B, recent allocation duration: 102.35ms, recent old gen allocation rate: 60495.52B/s, recent marking phase length: 216.48ms
[2024-10-12T11:23:53.163+0800] GC(81) Adaptive IHOP information (value update), threshold: 105544772B (92.51), internal target occupancy: 114085068B, occupancy: 111999488B, additional buffer size: 6291456B, predicted old gen allocation rate: 4675588.42B/s, predicted marking phase length: 480.97ms, prediction active: true
[2024-10-12T11:23:53.267+0800] GC(82) Basic information (value update), threshold: 105621779B (78.69), target occupancy: 134217728B, current occupancy: 115960832B, recent allocation size: 6192B, recent allocation duration: 103.14ms, recent old gen allocation rate: 60033.23B/s, recent marking phase length: 216.48ms
[2024-10-12T11:23:53.267+0800] GC(82) Adaptive IHOP information (value update), threshold: 105621779B (92.58), internal target occupancy: 114085068B, occupancy: 115960832B, additional buffer size: 6291456B, predicted old gen allocation rate: 4515483.73B/s, predicted marking phase length: 480.97ms, prediction active: true
[2024-10-12T11:23:53.423+0800] GC(84) Basic information (value update), threshold: 111987820B (83.44), target occupancy: 134217728B, current occupancy: 117825024B, recent allocation size: 6192B, recent allocation duration: 152.50ms, recent old gen allocation rate: 40602.32B/s, recent marking phase length: 216.48ms
[2024-10-12T11:23:53.423+0800] GC(84) Adaptive IHOP information (value update), threshold: 111987820B (98.16), internal target occupancy: 114085068B, occupancy: 117825024B, additional buffer size: 0B, predicted old gen allocation rate: 4360412.44B/s, predicted marking phase length: 480.97ms, prediction active: true
[2024-10-12T11:23:53.486+0800] GC(85) Basic information (value update), threshold: 112019606B (83.46), target occupancy: 134217728B, current occupancy: 111306816B, recent allocation size: 12384B, recent allocation duration: 152.50ms, recent old gen allocation rate: 81204.65B/s, recent marking phase length: 214.89ms
[2024-10-12T11:23:53.486+0800] GC(85) Adaptive IHOP information (value update), threshold: 112019606B (98.19), internal target occupancy: 114085068B, occupancy: 111306816B, additional buffer size: 0B, predicted old gen allocation rate: 4360412.44B/s, predicted marking phase length: 473.69ms, prediction active: true
[2024-10-12T11:23:54.222+0800] GC(92) Basic information (value update), threshold: 105798784B (78.83), target occupancy: 134217728B, current occupancy: 109902336B, recent allocation size: 6192B, recent allocation duration: 123.83ms, recent old gen allocation rate: 50004.21B/s, recent marking phase length: 214.89ms
[2024-10-12T11:23:54.222+0800] GC(92) Adaptive IHOP information (value update), threshold: 105798784B (92.74), internal target occupancy: 114085068B, occupancy: 109902336B, additional buffer size: 6291456B, predicted old gen allocation rate: 4211297.01B/s, predicted marking phase length: 473.69ms, prediction active: true
[2024-10-12T11:23:54.326+0800] GC(93) Basic information (value update), threshold: 105867041B (78.88), target occupancy: 134217728B, current occupancy: 113397760B, recent allocation size: 4128B, recent allocation duration: 102.98ms, recent old gen allocation rate: 40084.93B/s, recent marking phase length: 214.89ms
[2024-10-12T11:23:54.326+0800] GC(93) Adaptive IHOP information (value update), threshold: 105867041B (92.80), internal target occupancy: 114085068B, occupancy: 113397760B, additional buffer size: 6291456B, predicted old gen allocation rate: 4067199.55B/s, predicted marking phase length: 473.69ms, prediction active: true
[2024-10-12T11:23:54.429+0800] GC(94) Basic information (value update), threshold: 105932817B (78.93), target occupancy: 134217728B, current occupancy: 117126144B, recent allocation size: 4128B, recent allocation duration: 102.36ms, recent old gen allocation rate: 40327.26B/s, recent marking phase length: 214.89ms
[2024-10-12T11:23:54.429+0800] GC(94) Adaptive IHOP information (value update), threshold: 105932817B (92.85), internal target occupancy: 114085068B, occupancy: 117126144B, additional buffer size: 6291456B, predicted old gen allocation rate: 3928338.69B/s, predicted marking phase length: 473.69ms, prediction active: true
[2024-10-12T11:23:54.585+0800] GC(96) Basic information (value update), threshold: 112287656B (83.66), target occupancy: 134217728B, current occupancy: 121086976B, recent allocation size: 6192B, recent allocation duration: 152.98ms, recent old gen allocation rate: 40476.96B/s, recent marking phase length: 214.89ms
[2024-10-12T11:23:54.585+0800] GC(96) Adaptive IHOP information (value update), threshold: 112287656B (98.42), internal target occupancy: 114085068B, occupancy: 121086976B, additional buffer size: 0B, predicted old gen allocation rate: 3794529.96B/s, predicted marking phase length: 473.69ms, prediction active: true
[2024-10-12T11:23:54.648+0800] GC(97) Basic information (value update), threshold: 112316113B (83.68), target occupancy: 134217728B, current occupancy: 113867824B, recent allocation size: 6192B, recent allocation duration: 152.98ms, recent old gen allocation rate: 40476.96B/s, recent marking phase length: 214.64ms
[2024-10-12T11:23:54.648+0800] GC(97) Adaptive IHOP information (value update), threshold: 112316113B (98.45), internal target occupancy: 114085068B, occupancy: 113867824B, additional buffer size: 0B, predicted old gen allocation rate: 3794529.96B/s, predicted marking phase length: 466.19ms, prediction active: true
[2024-10-12T11:23:55.382+0800] GC(104) Basic information (value update), threshold: 106084398B (79.04), target occupancy: 134217728B, current occupancy: 112465408B, recent allocation size: 6192B, recent allocation duration: 102.35ms, recent old gen allocation rate: 60495.48B/s, recent marking phase length: 214.64ms
[2024-10-12T11:23:55.382+0800] GC(104) Adaptive IHOP information (value update), threshold: 106084398B (92.99), internal target occupancy: 114085068B, occupancy: 112465408B, additional buffer size: 6291456B, predicted old gen allocation rate: 3666381.27B/s, predicted marking phase length: 466.19ms, prediction active: true
[2024-10-12T11:23:55.486+0800] GC(105) Basic information (value update), threshold: 106141969B (79.08), target occupancy: 134217728B, current occupancy: 116426752B, recent allocation size: 6192B, recent allocation duration: 102.99ms, recent old gen allocation rate: 60123.10B/s, recent marking phase length: 214.64ms
[2024-10-12T11:23:55.486+0800] GC(105) Adaptive IHOP information (value update), threshold: 106141969B (93.04), internal target occupancy: 114085068B, occupancy: 116426752B, additional buffer size: 6291456B, predicted old gen allocation rate: 3542887.44B/s, predicted marking phase length: 466.19ms, prediction active: true
[2024-10-12T11:23:55.641+0800] GC(107) Basic information (value update), threshold: 112489261B (83.81), target occupancy: 134217728B, current occupancy: 120155136B, recent allocation size: 6192B, recent allocation duration: 152.24ms, recent old gen allocation rate: 40671.97B/s, recent marking phase length: 214.64ms
[2024-10-12T11:23:55.641+0800] GC(107) Adaptive IHOP information (value update), threshold: 112489261B (98.60), internal target occupancy: 114085068B, occupancy: 120155136B, additional buffer size: 0B, predicted old gen allocation rate: 3423116.43B/s, predicted marking phase length: 466.19ms, prediction active: true
[2024-10-12T11:23:55.705+0800] GC(108) Basic information (value update), threshold: 112515213B (83.83), target occupancy: 134217728B, current occupancy: 114337856B, recent allocation size: 14448B, recent allocation duration: 152.24ms, recent old gen allocation rate: 94901.27B/s, recent marking phase length: 214.54ms
