[2024-10-12T11:15:36.640+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T11:15:36.853+0800] GC(0) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 9006080B, recent allocation size: 2097152B, recent allocation duration: 212.32ms, recent old gen allocation rate: 9877358.57B/s, recent marking phase length: 0.00ms
[2024-10-12T11:15:38.059+0800] GC(6) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 49317888B, additional buffer size: 18874368B, predicted old gen allocation rate: 9619116.61B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:15:38.509+0800] GC(7) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 63764992B, recent allocation size: 0B, recent allocation duration: 440.92ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 0.00ms
[2024-10-12T11:15:38.509+0800] GC(7) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 63764992B, additional buffer size: 18874368B, predicted old gen allocation rate: 9356732.65B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:15:38.912+0800] GC(8) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 74949632B, recent allocation size: 6192B, recent allocation duration: 394.00ms, recent old gen allocation rate: 15715.79B/s, recent marking phase length: 0.00ms
[2024-10-12T11:15:38.912+0800] GC(8) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 74949632B, additional buffer size: 16777216B, predicted old gen allocation rate: 9086690.35B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:15:39.292+0800] GC(10) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 84736512B, recent allocation size: 2103344B, recent allocation duration: 370.29ms, recent old gen allocation rate: 5680227.81B/s, recent marking phase length: 0.00ms
[2024-10-12T11:15:39.292+0800] GC(10) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 84736512B, additional buffer size: 0B, predicted old gen allocation rate: 8813639.97B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:15:39.399+0800] GC(11) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 76114944B, recent allocation size: 12384B, recent allocation duration: 370.29ms, recent old gen allocation rate: 33443.86B/s, recent marking phase length: 474.34ms
[2024-10-12T11:15:39.399+0800] GC(11) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 76114944B, additional buffer size: 0B, predicted old gen allocation rate: 8813639.97B/s, predicted marking phase length: 948.68ms, prediction active: false
[2024-10-12T11:15:40.009+0800] GC(14) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 81474048B, recent allocation size: 6192B, recent allocation duration: 393.23ms, recent old gen allocation rate: 15746.61B/s, recent marking phase length: 474.34ms
[2024-10-12T11:15:40.009+0800] GC(14) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 81474048B, additional buffer size: 12582912B, predicted old gen allocation rate: 8540666.06B/s, predicted marking phase length: 948.68ms, prediction active: false
[2024-10-12T11:15:40.332+0800] GC(16) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 91959808B, recent allocation size: 4128B, recent allocation duration: 320.06ms, recent old gen allocation rate: 12897.75B/s, recent marking phase length: 474.34ms
[2024-10-12T11:15:40.333+0800] GC(16) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 91959808B, additional buffer size: 0B, predicted old gen allocation rate: 8269867.88B/s, predicted marking phase length: 948.68ms, prediction active: false
[2024-10-12T11:15:40.442+0800] GC(17) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 86833664B, recent allocation size: 6192B, recent allocation duration: 320.06ms, recent old gen allocation rate: 19346.62B/s, recent marking phase length: 423.47ms
[2024-10-12T11:15:40.442+0800] GC(17) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 86833664B, additional buffer size: 0B, predicted old gen allocation rate: 8269867.88B/s, predicted marking phase length: 825.64ms, prediction active: false
[2024-10-12T11:15:40.883+0800] GC(20) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 95222272B, recent allocation size: 6192B, recent allocation duration: 227.19ms, recent old gen allocation rate: 27254.95B/s, recent marking phase length: 423.47ms
[2024-10-12T11:15:40.883+0800] GC(20) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 95222272B, additional buffer size: 6291456B, predicted old gen allocation rate: 8003097.74B/s, predicted marking phase length: 825.64ms, prediction active: false
[2024-10-12T11:15:41.040+0800] GC(22) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 99416576B, recent allocation size: 6192B, recent allocation duration: 154.76ms, recent old gen allocation rate: 40010.20B/s, recent marking phase length: 423.47ms
[2024-10-12T11:15:41.040+0800] GC(22) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 99416576B, additional buffer size: 0B, predicted old gen allocation rate: 7741446.16B/s, predicted marking phase length: 825.64ms, prediction active: false
[2024-10-12T11:15:41.149+0800] GC(23) Basic information (value update), threshold: 108730831B (81.01), target occupancy: 134217728B, current occupancy: 95694336B, recent allocation size: 191952B, recent allocation duration: 154.76ms, recent old gen allocation rate: 1240316.25B/s, recent marking phase length: 257.64ms
[2024-10-12T11:15:41.149+0800] GC(23) Adaptive IHOP information (value update), threshold: 108730831B (95.31), internal target occupancy: 114085068B, occupancy: 95694336B, additional buffer size: 0B, predicted old gen allocation rate: 7741446.16B/s, predicted marking phase length: 691.63ms, prediction active: true
[2024-10-12T11:15:41.466+0800] GC(26) Basic information (value update), threshold: 102616136B (76.45), target occupancy: 134217728B, current occupancy: 101746688B, recent allocation size: 6192B, recent allocation duration: 103.52ms, recent old gen allocation rate: 59813.19B/s, recent marking phase length: 257.64ms
[2024-10-12T11:15:41.466+0800] GC(26) Adaptive IHOP information (value update), threshold: 102616136B (89.95), internal target occupancy: 114085068B, occupancy: 101746688B, additional buffer size: 6291456B, predicted old gen allocation rate: 7485875.03B/s, predicted marking phase length: 691.63ms, prediction active: true
[2024-10-12T11:15:41.569+0800] GC(27) Basic information (value update), threshold: 102788639B (76.58), target occupancy: 134217728B, current occupancy: 105708032B, recent allocation size: 6192B, recent allocation duration: 102.92ms, recent old gen allocation rate: 60164.47B/s, recent marking phase length: 257.64ms
[2024-10-12T11:15:41.570+0800] GC(27) Adaptive IHOP information (value update), threshold: 102788639B (90.10), internal target occupancy: 114085068B, occupancy: 105708032B, additional buffer size: 6291456B, predicted old gen allocation rate: 7236460.37B/s, predicted marking phase length: 691.63ms, prediction active: true
[2024-10-12T11:15:41.674+0800] GC(28) Basic information (value update), threshold: 102957027B (76.71), target occupancy: 134217728B, current occupancy: 109902336B, recent allocation size: 4128B, recent allocation duration: 103.69ms, recent old gen allocation rate: 39811.27B/s, recent marking phase length: 257.64ms
[2024-10-12T11:15:41.675+0800] GC(28) Adaptive IHOP information (value update), threshold: 102957027B (90.25), internal target occupancy: 114085068B, occupancy: 109902336B, additional buffer size: 6291456B, predicted old gen allocation rate: 6992996.80B/s, predicted marking phase length: 691.63ms, prediction active: true
[2024-10-12T11:15:41.830+0800] GC(30) Basic information (value update), threshold: 109412224B (81.52), target occupancy: 134217728B, current occupancy: 113630720B, recent allocation size: 6192B, recent allocation duration: 153.30ms, recent old gen allocation rate: 40391.56B/s, recent marking phase length: 257.64ms
[2024-10-12T11:15:41.830+0800] GC(30) Adaptive IHOP information (value update), threshold: 109412224B (95.90), internal target occupancy: 114085068B, occupancy: 113630720B, additional buffer size: 0B, predicted old gen allocation rate: 6756250.13B/s, predicted marking phase length: 691.63ms, prediction active: true
[2024-10-12T11:15:41.936+0800] GC(31) Basic information (value update), threshold: 110277219B (82.16), target occupancy: 134217728B, current occupancy: 101746688B, recent allocation size: 6192B, recent allocation duration: 153.30ms, recent old gen allocation rate: 40391.56B/s, recent marking phase length: 256.98ms
[2024-10-12T11:15:41.936+0800] GC(31) Adaptive IHOP information (value update), threshold: 110277219B (96.66), internal target occupancy: 114085068B, occupancy: 101746688B, additional buffer size: 0B, predicted old gen allocation rate: 6756250.13B/s, predicted marking phase length: 563.60ms, prediction active: true
[2024-10-12T11:15:42.251+0800] GC(34) Basic information (value update), threshold: 104115344B (77.57), target occupancy: 134217728B, current occupancy: 103144960B, recent allocation size: 4128B, recent allocation duration: 102.82ms, recent old gen allocation rate: 40147.30B/s, recent marking phase length: 256.98ms
[2024-10-12T11:15:42.251+0800] GC(34) Adaptive IHOP information (value update), threshold: 104115344B (91.26), internal target occupancy: 114085068B, occupancy: 103144960B, additional buffer size: 6291456B, predicted old gen allocation rate: 6526334.39B/s, predicted marking phase length: 563.60ms, prediction active: true
[2024-10-12T11:15:42.356+0800] GC(35) Basic information (value update), threshold: 104241042B (77.67), target occupancy: 134217728B, current occupancy: 106406912B, recent allocation size: 4128B, recent allocation duration: 103.76ms, recent old gen allocation rate: 39782.47B/s, recent marking phase length: 256.98ms
[2024-10-12T11:15:42.356+0800] GC(35) Adaptive IHOP information (value update), threshold: 104241042B (91.37), internal target occupancy: 114085068B, occupancy: 106406912B, additional buffer size: 6291456B, predicted old gen allocation rate: 6303308.68B/s, predicted marking phase length: 563.60ms, prediction active: true
[2024-10-12T11:15:42.461+0800] GC(36) Basic information (value update), threshold: 104362503B (77.76), target occupancy: 134217728B, current occupancy: 110601216B, recent allocation size: 6192B, recent allocation duration: 103.46ms, recent old gen allocation rate: 59851.05B/s, recent marking phase length: 256.98ms
[2024-10-12T11:15:42.461+0800] GC(36) Adaptive IHOP information (value update), threshold: 104362503B (91.48), internal target occupancy: 114085068B, occupancy: 110601216B, additional buffer size: 6291456B, predicted old gen allocation rate: 6087800.74B/s, predicted marking phase length: 563.60ms, prediction active: true
[2024-10-12T11:15:42.617+0800] GC(38) Basic information (value update), threshold: 110771895B (82.53), target occupancy: 134217728B, current occupancy: 114795520B, recent allocation size: 6192B, recent allocation duration: 153.83ms, recent old gen allocation rate: 40252.72B/s, recent marking phase length: 256.98ms
[2024-10-12T11:15:42.617+0800] GC(38) Adaptive IHOP information (value update), threshold: 110771895B (97.10), internal target occupancy: 114085068B, occupancy: 114795520B, additional buffer size: 0B, predicted old gen allocation rate: 5878548.92B/s, predicted marking phase length: 563.60ms, prediction active: true
[2024-10-12T11:15:42.723+0800] GC(39) Basic information (value update), threshold: 111268875B (82.90), target occupancy: 134217728B, current occupancy: 123650048B, recent allocation size: 4375936B, recent allocation duration: 153.83ms, recent old gen allocation rate: 28446917.99B/s, recent marking phase length: 256.78ms
[2024-10-12T11:15:42.723+0800] GC(39) Adaptive IHOP information (value update), threshold: 111268875B (97.53), internal target occupancy: 114085068B, occupancy: 123650048B, additional buffer size: 0B, predicted old gen allocation rate: 5878548.92B/s, predicted marking phase length: 479.06ms, prediction active: true
[2024-10-12T11:15:42.829+0800] GC(41) Basic information (value update), threshold: 104802624B (78.08), target occupancy: 134217728B, current occupancy: 129254984B, recent allocation size: 2097152B, recent allocation duration: 211.01ms, recent old gen allocation rate: 9938654.79B/s, recent marking phase length: 256.78ms
[2024-10-12T11:15:42.829+0800] GC(41) Adaptive IHOP information (value update), threshold: 104802624B (91.86), internal target occupancy: 114085068B, occupancy: 129254984B, additional buffer size: 6291456B, predicted old gen allocation rate: 6243419.16B/s, predicted marking phase length: 479.06ms, prediction active: true
[2024-10-12T11:15:42.944+0800] GC(43) Basic information (value update), threshold: 111197035B (82.85), target occupancy: 134217728B, current occupancy: 126931584B, recent allocation size: 6192B, recent allocation duration: 325.55ms, recent old gen allocation rate: 19020.29B/s, recent marking phase length: 256.78ms
[2024-10-12T11:15:42.944+0800] GC(43) Adaptive IHOP information (value update), threshold: 111197035B (97.47), internal target occupancy: 114085068B, occupancy: 126931584B, additional buffer size: 0B, predicted old gen allocation rate: 6028508.18B/s, predicted marking phase length: 479.06ms, prediction active: true
[2024-10-12T11:15:42.991+0800] GC(44) Basic information (value update), threshold: 111219954B (82.87), target occupancy: 134217728B, current occupancy: 126929016B, recent allocation size: 2119856B, recent allocation duration: 325.55ms, recent old gen allocation rate: 6511672.34B/s, recent marking phase length: 152.10ms
[2024-10-12T11:15:42.991+0800] GC(44) Adaptive IHOP information (value update), threshold: 111219954B (97.49), internal target occupancy: 114085068B, occupancy: 126929016B, additional buffer size: 0B, predicted old gen allocation rate: 6028508.18B/s, predicted marking phase length: 475.26ms, prediction active: true
[2024-10-12T11:15:43.056+0800] GC(45) Basic information (value update), threshold: 104333273B (77.73), target occupancy: 134217728B, current occupancy: 128797352B, recent allocation size: 2097152B, recent allocation duration: 110.26ms, recent old gen allocation rate: 19019305.80B/s, recent marking phase length: 152.10ms
[2024-10-12T11:15:43.056+0800] GC(45) Adaptive IHOP information (value update), threshold: 104333273B (91.45), internal target occupancy: 114085068B, occupancy: 128797352B, additional buffer size: 6291456B, predicted old gen allocation rate: 7280926.16B/s, predicted marking phase length: 475.26ms, prediction active: true
[2024-10-12T11:15:43.150+0800] GC(47) Basic information (value update), threshold: 110039856B (81.99), target occupancy: 134217728B, current occupancy: 130499200B, recent allocation size: 4194304B, recent allocation duration: 205.28ms, recent old gen allocation rate: 20432376.00B/s, recent marking phase length: 152.10ms
[2024-10-12T11:15:43.150+0800] GC(47) Adaptive IHOP information (value update), threshold: 110039856B (96.45), internal target occupancy: 114085068B, occupancy: 130499200B, additional buffer size: 0B, predicted old gen allocation rate: 8511561.64B/s, predicted marking phase length: 475.26ms, prediction active: true
[2024-10-12T11:15:43.397+0800] GC(49) Basic information (value update), threshold: 103888171B (77.40), target occupancy: 134217728B, current occupancy: 81889016B, recent allocation size: 0B, recent allocation duration: 451.93ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 152.10ms
[2024-10-12T11:15:43.397+0800] GC(49) Adaptive IHOP information (value update), threshold: 103888171B (91.06), internal target occupancy: 114085068B, occupancy: 81889016B, additional buffer size: 6291456B, predicted old gen allocation rate: 8217468.78B/s, predicted marking phase length: 475.26ms, prediction active: true
[2024-10-12T11:15:43.501+0800] GC(50) Basic information (value update), threshold: 104022545B (77.50), target occupancy: 134217728B, current occupancy: 86083320B, recent allocation size: 6192B, recent allocation duration: 102.53ms, recent old gen allocation rate: 60392.24B/s, recent marking phase length: 152.10ms
[2024-10-12T11:15:43.501+0800] GC(50) Adaptive IHOP information (value update), threshold: 104022545B (91.18), internal target occupancy: 114085068B, occupancy: 86083320B, additional buffer size: 6291456B, predicted old gen allocation rate: 7934730.90B/s, predicted marking phase length: 475.26ms, prediction active: true
[2024-10-12T11:15:43.523+0800] GC(51) Basic information (value update), threshold: 104148827B (77.60), target occupancy: 134217728B, current occupancy: 87483472B, recent allocation size: 6192B, recent allocation duration: 20.98ms, recent old gen allocation rate: 295073.00B/s, recent marking phase length: 152.10ms
[2024-10-12T11:15:43.523+0800] GC(51) Adaptive IHOP information (value update), threshold: 104148827B (91.29), internal target occupancy: 114085068B, occupancy: 87483472B, additional buffer size: 6291456B, predicted old gen allocation rate: 7669019.33B/s, predicted marking phase length: 475.26ms, prediction active: true
[2024-10-12T11:15:43.700+0800] GC(53) Basic information (value update), threshold: 110566572B (82.38), target occupancy: 134217728B, current occupancy: 91675384B, recent allocation size: 2101280B, recent allocation duration: 174.53ms, recent old gen allocation rate: 12039475.65B/s, recent marking phase length: 152.10ms
[2024-10-12T11:15:43.700+0800] GC(53) Adaptive IHOP information (value update), threshold: 110566572B (96.92), internal target occupancy: 114085068B, occupancy: 91675384B, additional buffer size: 0B, predicted old gen allocation rate: 7403294.65B/s, predicted marking phase length: 475.26ms, prediction active: true
[2024-10-12T11:15:43.810+0800] GC(54) Basic information (value update), threshold: 110610762B (82.41), target occupancy: 134217728B, current occupancy: 110316480B, recent allocation size: 4648384B, recent allocation duration: 174.53ms, recent old gen allocation rate: 26633340.61B/s, recent marking phase length: 277.80ms
[2024-10-12T11:15:43.810+0800] GC(54) Adaptive IHOP information (value update), threshold: 110610762B (96.95), internal target occupancy: 114085068B, occupancy: 110316480B, additional buffer size: 0B, predicted old gen allocation rate: 7403294.65B/s, predicted marking phase length: 469.29ms, prediction active: true
[2024-10-12T11:15:43.873+0800] GC(55) Basic information (value update), threshold: 104439789B (77.81), target occupancy: 134217728B, current occupancy: 111958528B, recent allocation size: 4128B, recent allocation duration: 171.92ms, recent old gen allocation rate: 24011.66B/s, recent marking phase length: 277.80ms
[2024-10-12T11:15:43.873+0800] GC(55) Adaptive IHOP information (value update), threshold: 104439789B (91.55), internal target occupancy: 114085068B, occupancy: 111958528B, additional buffer size: 6291456B, predicted old gen allocation rate: 7146560.49B/s, predicted marking phase length: 469.29ms, prediction active: true
[2024-10-12T11:15:43.968+0800] GC(57) Basic information (value update), threshold: 110847275B (82.59), target occupancy: 134217728B, current occupancy: 113820616B, recent allocation size: 4128B, recent allocation duration: 92.31ms, recent old gen allocation rate: 44718.65B/s, recent marking phase length: 277.80ms
[2024-10-12T11:15:43.968+0800] GC(57) Adaptive IHOP information (value update), threshold: 110847275B (97.16), internal target occupancy: 114085068B, occupancy: 113820616B, additional buffer size: 0B, predicted old gen allocation rate: 6899315.27B/s, predicted marking phase length: 469.29ms, prediction active: true
[2024-10-12T11:15:44.033+0800] GC(58) Basic information (value update), threshold: 110892835B (82.62), target occupancy: 134217728B, current occupancy: 114054888B, recent allocation size: 2136368B, recent allocation duration: 92.31ms, recent old gen allocation rate: 23143290.00B/s, recent marking phase length: 154.02ms
[2024-10-12T11:15:44.033+0800] GC(58) Adaptive IHOP information (value update), threshold: 110892835B (97.20), internal target occupancy: 114085068B, occupancy: 114054888B, additional buffer size: 0B, predicted old gen allocation rate: 6899315.27B/s, predicted marking phase length: 462.69ms, prediction active: true
[2024-10-12T11:15:44.077+0800] GC(59) Basic information (value update), threshold: 104060460B (77.53), target occupancy: 134217728B, current occupancy: 115692272B, recent allocation size: 2097152B, recent allocation duration: 107.12ms, recent old gen allocation rate: 19577268.26B/s, recent marking phase length: 154.02ms
[2024-10-12T11:15:44.077+0800] GC(59) Adaptive IHOP information (value update), threshold: 104060460B (91.21), internal target occupancy: 114085068B, occupancy: 115692272B, additional buffer size: 6291456B, predicted old gen allocation rate: 8068393.84B/s, predicted marking phase length: 462.69ms, prediction active: true
[2024-10-12T11:15:44.191+0800] GC(61) Basic information (value update), threshold: 110262258B (82.15), target occupancy: 134217728B, current occupancy: 115931224B, recent allocation size: 2097152B, recent allocation duration: 222.00ms, recent old gen allocation rate: 9446523.14B/s, recent marking phase length: 154.02ms
[2024-10-12T11:15:44.191+0800] GC(61) Adaptive IHOP information (value update), threshold: 110262258B (96.65), internal target occupancy: 114085068B, occupancy: 115931224B, additional buffer size: 0B, predicted old gen allocation rate: 8262168.22B/s, predicted marking phase length: 462.69ms, prediction active: true
[2024-10-12T11:15:44.236+0800] GC(62) Basic information (value update), threshold: 110324938B (82.20), target occupancy: 134217728B, current occupancy: 117636976B, recent allocation size: 4194304B, recent allocation duration: 222.00ms, recent old gen allocation rate: 18893046.29B/s, recent marking phase length: 153.44ms
[2024-10-12T11:15:44.236+0800] GC(62) Adaptive IHOP information (value update), threshold: 110324938B (96.70), internal target occupancy: 114085068B, occupancy: 117636976B, additional buffer size: 0B, predicted old gen allocation rate: 8262168.22B/s, predicted marking phase length: 455.10ms, prediction active: true
[2024-10-12T11:15:44.481+0800] GC(64) Basic information (value update), threshold: 104164063B (77.61), target occupancy: 134217728B, current occupancy: 81656048B, recent allocation size: 0B, recent allocation duration: 511.40ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 153.44ms
[2024-10-12T11:15:44.481+0800] GC(64) Adaptive IHOP information (value update), threshold: 104164063B (91.30), internal target occupancy: 114085068B, occupancy: 81656048B, additional buffer size: 6291456B, predicted old gen allocation rate: 7975240.93B/s, predicted marking phase length: 455.10ms, prediction active: true
[2024-10-12T11:15:44.586+0800] GC(65) Basic information (value update), threshold: 104289361B (77.70), target occupancy: 134217728B, current occupancy: 86316272B, recent allocation size: 6192B, recent allocation duration: 103.19ms, recent old gen allocation rate: 60006.96B/s, recent marking phase length: 153.44ms
[2024-10-12T11:15:44.586+0800] GC(65) Adaptive IHOP information (value update), threshold: 104289361B (91.41), internal target occupancy: 114085068B, occupancy: 86316272B, additional buffer size: 6291456B, predicted old gen allocation rate: 7699922.61B/s, predicted marking phase length: 455.10ms, prediction active: true
[2024-10-12T11:15:44.689+0800] GC(66) Basic information (value update), threshold: 104410379B (77.79), target occupancy: 134217728B, current occupancy: 90044656B, recent allocation size: 6192B, recent allocation duration: 102.38ms, recent old gen allocation rate: 60478.01B/s, recent marking phase length: 153.44ms
[2024-10-12T11:15:44.689+0800] GC(66) Adaptive IHOP information (value update), threshold: 104410379B (91.52), internal target occupancy: 114085068B, occupancy: 90044656B, additional buffer size: 6291456B, predicted old gen allocation rate: 7434008.90B/s, predicted marking phase length: 455.10ms, prediction active: true
[2024-10-12T11:15:44.793+0800] GC(67) Basic information (value update), threshold: 104527231B (77.88), target occupancy: 134217728B, current occupancy: 94238960B, recent allocation size: 6192B, recent allocation duration: 103.08ms, recent old gen allocation rate: 60068.48B/s, recent marking phase length: 153.44ms
[2024-10-12T11:15:44.793+0800] GC(67) Adaptive IHOP information (value update), threshold: 104527231B (91.62), internal target occupancy: 114085068B, occupancy: 94238960B, additional buffer size: 6291456B, predicted old gen allocation rate: 7177248.90B/s, predicted marking phase length: 455.10ms, prediction active: true
[2024-10-12T11:15:44.948+0800] GC(69) Basic information (value update), threshold: 110931783B (82.65), target occupancy: 134217728B, current occupancy: 98433264B, recent allocation size: 6192B, recent allocation duration: 152.51ms, recent old gen allocation rate: 40600.08B/s, recent marking phase length: 153.44ms
[2024-10-12T11:15:44.949+0800] GC(69) Adaptive IHOP information (value update), threshold: 110931783B (97.24), internal target occupancy: 114085068B, occupancy: 98433264B, additional buffer size: 0B, predicted old gen allocation rate: 6928742.71B/s, predicted marking phase length: 455.10ms, prediction active: true
[2024-10-12T11:15:45.056+0800] GC(70) Basic information (value update), threshold: 110977551B (82.68), target occupancy: 134217728B, current occupancy: 116375240B, recent allocation size: 6918912B, recent allocation duration: 152.51ms, recent old gen allocation rate: 45366340.18B/s, recent marking phase length: 255.63ms
[2024-10-12T11:15:45.056+0800] GC(70) Adaptive IHOP information (value update), threshold: 110977551B (97.28), internal target occupancy: 114085068B, occupancy: 116375240B, additional buffer size: 0B, predicted old gen allocation rate: 6928742.71B/s, predicted marking phase length: 448.50ms, prediction active: true
[2024-10-12T11:15:45.300+0800] GC(72) Basic information (value update), threshold: 102697136B (76.52), target occupancy: 134217728B, current occupancy: 81077088B, recent allocation size: 0B, recent allocation duration: 350.17ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 255.63ms
[2024-10-12T11:15:45.300+0800] GC(72) Adaptive IHOP information (value update), threshold: 102697136B (90.02), internal target occupancy: 114085068B, occupancy: 81077088B, additional buffer size: 8388608B, predicted old gen allocation rate: 6687507.93B/s, predicted marking phase length: 448.50ms, prediction active: true
[2024-10-12T11:15:45.466+0800] GC(73) Basic information (value update), threshold: 104898063B (78.16), target occupancy: 134217728B, current occupancy: 88067936B, recent allocation size: 6192B, recent allocation duration: 164.21ms, recent old gen allocation rate: 37708.34B/s, recent marking phase length: 255.63ms
[2024-10-12T11:15:45.466+0800] GC(73) Adaptive IHOP information (value update), threshold: 104898063B (91.95), internal target occupancy: 114085068B, occupancy: 88067936B, additional buffer size: 6291456B, predicted old gen allocation rate: 6456124.04B/s, predicted marking phase length: 448.50ms, prediction active: true
[2024-10-12T11:15:45.570+0800] GC(74) Basic information (value update), threshold: 104998111B (78.23), target occupancy: 134217728B, current occupancy: 92262240B, recent allocation size: 4128B, recent allocation duration: 102.55ms, recent old gen allocation rate: 40253.26B/s, recent marking phase length: 255.63ms
