[2024-10-12T10:01:35.733+0800] Target occupancy update: old: 0B, new: 268435456B
[2024-10-12T10:01:36.090+0800] GC(0) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 14132224B, recent allocation size: 2228224B, recent allocation duration: 356.76ms, recent old gen allocation rate: 6245721.63B/s, recent marking phase length: 0.00ms
[2024-10-12T10:01:38.570+0800] GC(7) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 98950656B, additional buffer size: 25165824B, predicted old gen allocation rate: 5942223.29B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:01:39.138+0800] GC(8) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 118290944B, recent allocation size: 12384B, recent allocation duration: 560.65ms, recent old gen allocation rate: 22088.77B/s, recent marking phase length: 0.00ms
[2024-10-12T10:01:39.138+0800] GC(8) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 118290944B, additional buffer size: 31457280B, predicted old gen allocation rate: 5776779.28B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:01:39.853+0800] GC(9) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 143456768B, recent allocation size: 12384B, recent allocation duration: 705.62ms, recent old gen allocation rate: 17550.45B/s, recent marking phase length: 0.00ms
[2024-10-12T10:01:39.853+0800] GC(9) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 143456768B, additional buffer size: 33554432B, predicted old gen allocation rate: 5607677.57B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:01:40.087+0800] GC(10) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 152777216B, recent allocation size: 12384B, recent allocation duration: 228.36ms, recent old gen allocation rate: 54229.37B/s, recent marking phase length: 0.00ms
[2024-10-12T10:01:40.087+0800] GC(10) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 152777216B, additional buffer size: 29360128B, predicted old gen allocation rate: 5438018.67B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:01:40.828+0800] GC(12) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 162331136B, recent allocation size: 2107472B, recent allocation duration: 735.24ms, recent old gen allocation rate: 2866388.61B/s, recent marking phase length: 0.00ms
[2024-10-12T10:01:40.828+0800] GC(12) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 162331136B, additional buffer size: 0B, predicted old gen allocation rate: 5268364.45B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:01:41.040+0800] GC(13) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 145088000B, recent allocation size: 255936B, recent allocation duration: 735.24ms, recent old gen allocation rate: 348100.49B/s, recent marking phase length: 942.28ms
[2024-10-12T10:01:41.040+0800] GC(13) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 145088000B, additional buffer size: 0B, predicted old gen allocation rate: 5268364.45B/s, predicted marking phase length: 1884.55ms, prediction active: false
[2024-10-12T10:01:42.218+0800] GC(16) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 159068672B, recent allocation size: 4128B, recent allocation duration: 636.36ms, recent old gen allocation rate: 6486.88B/s, recent marking phase length: 942.28ms
[2024-10-12T10:01:42.218+0800] GC(16) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 159068672B, additional buffer size: 29360128B, predicted old gen allocation rate: 5100285.18B/s, predicted marking phase length: 1884.55ms, prediction active: false
[2024-10-12T10:01:42.952+0800] GC(18) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 164894208B, recent allocation size: 2109536B, recent allocation duration: 729.40ms, recent old gen allocation rate: 2892141.25B/s, recent marking phase length: 942.28ms
[2024-10-12T10:01:42.952+0800] GC(18) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 164894208B, additional buffer size: 0B, predicted old gen allocation rate: 4934974.74B/s, predicted marking phase length: 1884.55ms, prediction active: false
[2024-10-12T10:01:43.161+0800] GC(19) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 151379456B, recent allocation size: 12384B, recent allocation duration: 729.40ms, recent old gen allocation rate: 16978.27B/s, recent marking phase length: 935.42ms
[2024-10-12T10:01:43.161+0800] GC(19) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 151379456B, additional buffer size: 0B, predicted old gen allocation rate: 4934974.74B/s, predicted marking phase length: 1648.38ms, prediction active: false
[2024-10-12T10:01:44.192+0800] GC(21) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 175379968B, recent allocation size: 2064B, recent allocation duration: 759.81ms, recent old gen allocation rate: 2716.46B/s, recent marking phase length: 935.42ms
[2024-10-12T10:01:44.192+0800] GC(21) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 175379968B, additional buffer size: 23068672B, predicted old gen allocation rate: 4772504.25B/s, predicted marking phase length: 1648.38ms, prediction active: false
[2024-10-12T10:01:44.740+0800] GC(23) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 166991360B, recent allocation size: 2109536B, recent allocation duration: 544.01ms, recent old gen allocation rate: 3877761.59B/s, recent marking phase length: 935.42ms
[2024-10-12T10:01:44.740+0800] GC(23) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 166991360B, additional buffer size: 0B, predicted old gen allocation rate: 4614089.66B/s, predicted marking phase length: 1648.38ms, prediction active: false
[2024-10-12T10:01:44.967+0800] GC(24) Basic information (value update), threshold: 221710340B (82.59), target occupancy: 268435456B, current occupancy: 149282304B, recent allocation size: 119712B, recent allocation duration: 544.01ms, recent old gen allocation rate: 220055.31B/s, recent marking phase length: 770.16ms
[2024-10-12T10:01:44.967+0800] GC(24) Adaptive IHOP information (value update), threshold: 221710340B (97.17), internal target occupancy: 228170137B, occupancy: 149282304B, additional buffer size: 0B, predicted old gen allocation rate: 4614089.66B/s, predicted marking phase length: 1400.02ms, prediction active: true
[2024-10-12T10:01:45.955+0800] GC(26) Basic information (value update), threshold: 196761567B (73.30), target occupancy: 268435456B, current occupancy: 173748736B, recent allocation size: 2064B, recent allocation duration: 717.15ms, recent old gen allocation rate: 2878.06B/s, recent marking phase length: 770.16ms
[2024-10-12T10:01:45.956+0800] GC(26) Adaptive IHOP information (value update), threshold: 196761567B (86.23), internal target occupancy: 228170137B, occupancy: 173748736B, additional buffer size: 25165824B, predicted old gen allocation rate: 4459055.45B/s, predicted marking phase length: 1400.02ms, prediction active: true
[2024-10-12T10:01:46.496+0800] GC(27) Basic information (value update), threshold: 205128651B (76.42), target occupancy: 268435456B, current occupancy: 194722816B, recent allocation size: 2107472B, recent allocation duration: 534.76ms, recent old gen allocation rate: 3940963.70B/s, recent marking phase length: 770.16ms
[2024-10-12T10:01:46.496+0800] GC(27) Adaptive IHOP information (value update), threshold: 205128651B (89.90), internal target occupancy: 228170137B, occupancy: 194722816B, additional buffer size: 16777216B, predicted old gen allocation rate: 4474429.33B/s, predicted marking phase length: 1400.02ms, prediction active: true
[2024-10-12T10:01:46.829+0800] GC(28) Basic information (value update), threshold: 209532542B (78.06), target occupancy: 268435456B, current occupancy: 206837248B, recent allocation size: 12384B, recent allocation duration: 328.06ms, recent old gen allocation rate: 37749.20B/s, recent marking phase length: 770.16ms
[2024-10-12T10:01:46.829+0800] GC(28) Adaptive IHOP information (value update), threshold: 209532542B (91.83), internal target occupancy: 228170137B, occupancy: 206837248B, additional buffer size: 12582912B, predicted old gen allocation rate: 4324725.94B/s, predicted marking phase length: 1400.02ms, prediction active: true
[2024-10-12T10:01:47.101+0800] GC(29) Basic information (value update), threshold: 209736442B (78.13), target occupancy: 268435456B, current occupancy: 217323008B, recent allocation size: 10320B, recent allocation duration: 267.60ms, recent old gen allocation rate: 38564.79B/s, recent marking phase length: 770.16ms
[2024-10-12T10:01:47.101+0800] GC(29) Adaptive IHOP information (value update), threshold: 209736442B (91.92), internal target occupancy: 228170137B, occupancy: 217323008B, additional buffer size: 12582912B, predicted old gen allocation rate: 4179084.32B/s, predicted marking phase length: 1400.02ms, prediction active: true
[2024-10-12T10:01:47.422+0800] GC(31) Basic information (value update), threshold: 222517440B (82.89), target occupancy: 268435456B, current occupancy: 160699904B, recent allocation size: 12384B, recent allocation duration: 317.73ms, recent old gen allocation rate: 38975.90B/s, recent marking phase length: 770.16ms
[2024-10-12T10:01:47.422+0800] GC(31) Adaptive IHOP information (value update), threshold: 222517440B (97.52), internal target occupancy: 228170137B, occupancy: 160699904B, additional buffer size: 0B, predicted old gen allocation rate: 4037596.34B/s, predicted marking phase length: 1400.02ms, prediction active: true
[2024-10-12T10:01:47.690+0800] GC(32) Basic information (value update), threshold: 223547644B (83.28), target occupancy: 268435456B, current occupancy: 145088000B, recent allocation size: 68112B, recent allocation duration: 317.73ms, recent old gen allocation rate: 214367.47B/s, recent marking phase length: 584.27ms
[2024-10-12T10:01:47.690+0800] GC(32) Adaptive IHOP information (value update), threshold: 223547644B (97.97), internal target occupancy: 228170137B, occupancy: 145088000B, additional buffer size: 0B, predicted old gen allocation rate: 4037596.34B/s, predicted marking phase length: 1144.86ms, prediction active: true
[2024-10-12T10:01:48.780+0800] GC(34) Basic information (value update), threshold: 198540301B (73.96), target occupancy: 268435456B, current occupancy: 170719744B, recent allocation size: 2097152B, recent allocation duration: 819.92ms, recent old gen allocation rate: 2557759.42B/s, recent marking phase length: 584.27ms
[2024-10-12T10:01:48.780+0800] GC(34) Adaptive IHOP information (value update), threshold: 198540301B (87.01), internal target occupancy: 228170137B, occupancy: 170719744B, additional buffer size: 25165824B, predicted old gen allocation rate: 3899168.81B/s, predicted marking phase length: 1144.86ms, prediction active: true
[2024-10-12T10:01:49.337+0800] GC(35) Basic information (value update), threshold: 207081816B (77.14), target occupancy: 268435456B, current occupancy: 192157184B, recent allocation size: 12384B, recent allocation duration: 554.52ms, recent old gen allocation rate: 22332.72B/s, recent marking phase length: 584.27ms
[2024-10-12T10:01:49.337+0800] GC(35) Adaptive IHOP information (value update), threshold: 207081816B (90.76), internal target occupancy: 228170137B, occupancy: 192157184B, additional buffer size: 16777216B, predicted old gen allocation rate: 3765609.18B/s, predicted marking phase length: 1144.86ms, prediction active: true
[2024-10-12T10:01:49.668+0800] GC(36) Basic information (value update), threshold: 211423903B (78.76), target occupancy: 268435456B, current occupancy: 203108864B, recent allocation size: 10320B, recent allocation duration: 328.46ms, recent old gen allocation rate: 31419.59B/s, recent marking phase length: 584.27ms
[2024-10-12T10:01:49.668+0800] GC(36) Adaptive IHOP information (value update), threshold: 211423903B (92.66), internal target occupancy: 228170137B, occupancy: 203108864B, additional buffer size: 12582912B, predicted old gen allocation rate: 3636525.87B/s, predicted marking phase length: 1144.86ms, prediction active: true
[2024-10-12T10:01:49.935+0800] GC(37) Basic information (value update), threshold: 211566375B (78.81), target occupancy: 268435456B, current occupancy: 212196864B, recent allocation size: 12384B, recent allocation duration: 266.16ms, recent old gen allocation rate: 46529.18B/s, recent marking phase length: 584.27ms
[2024-10-12T10:01:49.935+0800] GC(37) Adaptive IHOP information (value update), threshold: 211566375B (92.72), internal target occupancy: 228170137B, occupancy: 212196864B, additional buffer size: 12582912B, predicted old gen allocation rate: 3512081.56B/s, predicted marking phase length: 1144.86ms, prediction active: true
[2024-10-12T10:01:50.204+0800] GC(38) Basic information (value update), threshold: 211704439B (78.87), target occupancy: 268435456B, current occupancy: 221517312B, recent allocation size: 10320B, recent allocation duration: 266.18ms, recent old gen allocation rate: 38771.39B/s, recent marking phase length: 584.27ms
[2024-10-12T10:01:50.204+0800] GC(38) Adaptive IHOP information (value update), threshold: 211704439B (92.78), internal target occupancy: 228170137B, occupancy: 221517312B, additional buffer size: 12582912B, predicted old gen allocation rate: 3391486.75B/s, predicted marking phase length: 1144.86ms, prediction active: true
[2024-10-12T10:01:50.525+0800] GC(40) Basic information (value update), threshold: 224421283B (83.60), target occupancy: 268435456B, current occupancy: 175379968B, recent allocation size: 8256B, recent allocation duration: 317.95ms, recent old gen allocation rate: 25966.07B/s, recent marking phase length: 584.27ms
[2024-10-12T10:01:50.525+0800] GC(40) Adaptive IHOP information (value update), threshold: 224421283B (98.36), internal target occupancy: 228170137B, occupancy: 175379968B, additional buffer size: 0B, predicted old gen allocation rate: 3274501.67B/s, predicted marking phase length: 1144.86ms, prediction active: true
[2024-10-12T10:01:50.793+0800] GC(41) Basic information (value update), threshold: 225046109B (83.84), target occupancy: 268435456B, current occupancy: 158656000B, recent allocation size: 2146688B, recent allocation duration: 317.95ms, recent old gen allocation rate: 6751579.69B/s, recent marking phase length: 584.69ms
[2024-10-12T10:01:50.793+0800] GC(41) Adaptive IHOP information (value update), threshold: 225046109B (98.63), internal target occupancy: 228170137B, occupancy: 158656000B, additional buffer size: 0B, predicted old gen allocation rate: 3274501.67B/s, predicted marking phase length: 954.05ms, prediction active: true
[2024-10-12T10:01:51.986+0800] GC(44) Basic information (value update), threshold: 202085999B (75.28), target occupancy: 268435456B, current occupancy: 177479168B, recent allocation size: 2064B, recent allocation duration: 654.67ms, recent old gen allocation rate: 3152.73B/s, recent marking phase length: 584.69ms
[2024-10-12T10:01:51.986+0800] GC(44) Adaptive IHOP information (value update), threshold: 202085999B (88.57), internal target occupancy: 228170137B, occupancy: 177479168B, additional buffer size: 23068672B, predicted old gen allocation rate: 3160710.24B/s, predicted marking phase length: 954.05ms, prediction active: true
[2024-10-12T10:01:52.480+0800] GC(45) Basic information (value update), threshold: 208481599B (77.67), target occupancy: 268435456B, current occupancy: 193788416B, recent allocation size: 12384B, recent allocation duration: 492.18ms, recent old gen allocation rate: 25161.48B/s, recent marking phase length: 584.69ms
[2024-10-12T10:01:52.480+0800] GC(45) Adaptive IHOP information (value update), threshold: 208481599B (91.37), internal target occupancy: 228170137B, occupancy: 193788416B, additional buffer size: 16777216B, predicted old gen allocation rate: 3051550.29B/s, predicted marking phase length: 954.05ms, prediction active: true
[2024-10-12T10:01:52.811+0800] GC(46) Basic information (value update), threshold: 212776030B (79.27), target occupancy: 268435456B, current occupancy: 205208576B, recent allocation size: 2109536B, recent allocation duration: 329.27ms, recent old gen allocation rate: 6406760.34B/s, recent marking phase length: 584.69ms
[2024-10-12T10:01:52.811+0800] GC(46) Adaptive IHOP information (value update), threshold: 212776030B (93.25), internal target occupancy: 228170137B, occupancy: 205208576B, additional buffer size: 12582912B, predicted old gen allocation rate: 2946600.06B/s, predicted marking phase length: 954.05ms, prediction active: true
[2024-10-12T10:01:53.078+0800] GC(47) Basic information (value update), threshold: 212872618B (79.30), target occupancy: 268435456B, current occupancy: 214992896B, recent allocation size: 10320B, recent allocation duration: 266.31ms, recent old gen allocation rate: 38751.77B/s, recent marking phase length: 584.69ms
[2024-10-12T10:01:53.078+0800] GC(47) Adaptive IHOP information (value update), threshold: 212872618B (93.30), internal target occupancy: 228170137B, occupancy: 214992896B, additional buffer size: 12582912B, predicted old gen allocation rate: 2845359.90B/s, predicted marking phase length: 954.05ms, prediction active: true
[2024-10-12T10:01:53.347+0800] GC(48) Basic information (value update), threshold: 212965802B (79.34), target occupancy: 268435456B, current occupancy: 225245696B, recent allocation size: 10320B, recent allocation duration: 266.05ms, recent old gen allocation rate: 38790.37B/s, recent marking phase length: 584.69ms
[2024-10-12T10:01:53.347+0800] GC(48) Adaptive IHOP information (value update), threshold: 212965802B (93.34), internal target occupancy: 228170137B, occupancy: 225245696B, additional buffer size: 12582912B, predicted old gen allocation rate: 2747687.95B/s, predicted marking phase length: 954.05ms, prediction active: true
[2024-10-12T10:01:53.667+0800] GC(50) Basic information (value update), threshold: 225639035B (84.06), target occupancy: 268435456B, current occupancy: 159069184B, recent allocation size: 8256B, recent allocation duration: 317.25ms, recent old gen allocation rate: 26024.05B/s, recent marking phase length: 584.69ms
[2024-10-12T10:01:53.667+0800] GC(50) Adaptive IHOP information (value update), threshold: 225639035B (98.89), internal target occupancy: 228170137B, occupancy: 159069184B, additional buffer size: 0B, predicted old gen allocation rate: 2653016.22B/s, predicted marking phase length: 954.05ms, prediction active: true
[2024-10-12T10:01:53.934+0800] GC(51) Basic information (value update), threshold: 225657695B (84.06), target occupancy: 268435456B, current occupancy: 142062600B, recent allocation size: 97008B, recent allocation duration: 317.25ms, recent old gen allocation rate: 305782.57B/s, recent marking phase length: 583.24ms
[2024-10-12T10:01:53.934+0800] GC(51) Adaptive IHOP information (value update), threshold: 225657695B (98.90), internal target occupancy: 228170137B, occupancy: 142062600B, additional buffer size: 0B, predicted old gen allocation rate: 2653016.22B/s, predicted marking phase length: 947.01ms, prediction active: true
[2024-10-12T10:01:54.860+0800] GC(52) Basic information (value update), threshold: 198482083B (73.94), target occupancy: 268435456B, current occupancy: 174448128B, recent allocation size: 0B, recent allocation duration: 921.71ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 583.24ms
[2024-10-12T10:01:54.860+0800] GC(52) Adaptive IHOP information (value update), threshold: 198482083B (86.99), internal target occupancy: 228170137B, occupancy: 174448128B, additional buffer size: 27262976B, predicted old gen allocation rate: 2560764.55B/s, predicted marking phase length: 947.01ms, prediction active: true
[2024-10-12T10:01:55.417+0800] GC(53) Basic information (value update), threshold: 206954026B (77.10), target occupancy: 268435456B, current occupancy: 192159232B, recent allocation size: 2111600B, recent allocation duration: 554.80ms, recent old gen allocation rate: 3806024.36B/s, recent marking phase length: 583.24ms
[2024-10-12T10:01:55.417+0800] GC(53) Adaptive IHOP information (value update), threshold: 206954026B (90.70), internal target occupancy: 228170137B, occupancy: 192159232B, additional buffer size: 18874368B, predicted old gen allocation rate: 2472767.28B/s, predicted marking phase length: 947.01ms, prediction active: true
[2024-10-12T10:01:55.788+0800] GC(54) Basic information (value update), threshold: 213325555B (79.47), target occupancy: 268435456B, current occupancy: 204973056B, recent allocation size: 12384B, recent allocation duration: 369.11ms, recent old gen allocation rate: 33551.13B/s, recent marking phase length: 583.24ms
[2024-10-12T10:01:55.788+0800] GC(54) Adaptive IHOP information (value update), threshold: 213325555B (93.49), internal target occupancy: 228170137B, occupancy: 204973056B, additional buffer size: 12582912B, predicted old gen allocation rate: 2388213.58B/s, predicted marking phase length: 947.01ms, prediction active: true
[2024-10-12T10:01:56.014+0800] GC(55) Basic information (value update), threshold: 213401967B (79.50), target occupancy: 268435456B, current occupancy: 213594624B, recent allocation size: 12384B, recent allocation duration: 225.24ms, recent old gen allocation rate: 54980.97B/s, recent marking phase length: 583.24ms
[2024-10-12T10:01:56.014+0800] GC(55) Adaptive IHOP information (value update), threshold: 213401967B (93.53), internal target occupancy: 228170137B, occupancy: 213594624B, additional buffer size: 12582912B, predicted old gen allocation rate: 2307526.08B/s, predicted marking phase length: 947.01ms, prediction active: true
[2024-10-12T10:01:56.282+0800] GC(56) Basic information (value update), threshold: 213476202B (79.53), target occupancy: 268435456B, current occupancy: 224779776B, recent allocation size: 10320B, recent allocation duration: 266.26ms, recent old gen allocation rate: 38758.77B/s, recent marking phase length: 583.24ms
[2024-10-12T10:01:56.282+0800] GC(56) Adaptive IHOP information (value update), threshold: 213476202B (93.56), internal target occupancy: 228170137B, occupancy: 224779776B, additional buffer size: 12582912B, predicted old gen allocation rate: 2229137.73B/s, predicted marking phase length: 947.01ms, prediction active: true
[2024-10-12T10:01:56.602+0800] GC(58) Basic information (value update), threshold: 226130643B (84.24), target occupancy: 268435456B, current occupancy: 161165824B, recent allocation size: 12384B, recent allocation duration: 316.62ms, recent old gen allocation rate: 39113.40B/s, recent marking phase length: 583.24ms
[2024-10-12T10:01:56.602+0800] GC(58) Adaptive IHOP information (value update), threshold: 226130643B (99.11), internal target occupancy: 228170137B, occupancy: 161165824B, additional buffer size: 0B, predicted old gen allocation rate: 2153606.18B/s, predicted marking phase length: 947.01ms, prediction active: true
[2024-10-12T10:01:56.869+0800] GC(59) Basic information (value update), threshold: 226148952B (84.25), target occupancy: 268435456B, current occupancy: 143456768B, recent allocation size: 12384B, recent allocation duration: 316.62ms, recent old gen allocation rate: 39113.40B/s, recent marking phase length: 582.28ms
[2024-10-12T10:01:56.869+0800] GC(59) Adaptive IHOP information (value update), threshold: 226148952B (99.11), internal target occupancy: 228170137B, occupancy: 143456768B, additional buffer size: 0B, predicted old gen allocation rate: 2153606.18B/s, predicted marking phase length: 938.51ms, prediction active: true
[2024-10-12T10:01:57.690+0800] GC(60) Basic information (value update), threshold: 198955623B (74.12), target occupancy: 268435456B, current occupancy: 169088512B, recent allocation size: 2099216B, recent allocation duration: 819.19ms, recent old gen allocation rate: 2562562.52B/s, recent marking phase length: 582.28ms
[2024-10-12T10:01:57.690+0800] GC(60) Adaptive IHOP information (value update), threshold: 198955623B (87.20), internal target occupancy: 228170137B, occupancy: 169088512B, additional buffer size: 27262976B, predicted old gen allocation rate: 2079396.36B/s, predicted marking phase length: 938.51ms, prediction active: true
[2024-10-12T10:01:58.287+0800] GC(61) Basic information (value update), threshold: 207410547B (77.27), target occupancy: 268435456B, current occupancy: 190292992B, recent allocation size: 14448B, recent allocation duration: 594.20ms, recent old gen allocation rate: 24314.90B/s, recent marking phase length: 582.28ms
[2024-10-12T10:01:58.287+0800] GC(61) Adaptive IHOP information (value update), threshold: 207410547B (90.90), internal target occupancy: 228170137B, occupancy: 190292992B, additional buffer size: 18874368B, predicted old gen allocation rate: 2008735.49B/s, predicted marking phase length: 938.51ms, prediction active: true
[2024-10-12T10:01:58.677+0800] GC(62) Basic information (value update), threshold: 213765625B (79.63), target occupancy: 268435456B, current occupancy: 205206016B, recent allocation size: 12384B, recent allocation duration: 388.91ms, recent old gen allocation rate: 31842.58B/s, recent marking phase length: 582.28ms
[2024-10-12T10:01:58.678+0800] GC(62) Adaptive IHOP information (value update), threshold: 213765625B (93.69), internal target occupancy: 228170137B, occupancy: 205206016B, additional buffer size: 12582912B, predicted old gen allocation rate: 1940945.76B/s, predicted marking phase length: 938.51ms, prediction active: true
[2024-10-12T10:01:58.884+0800] GC(63) Basic information (value update), threshold: 213825853B (79.66), target occupancy: 268435456B, current occupancy: 213597184B, recent allocation size: 12384B, recent allocation duration: 205.21ms, recent old gen allocation rate: 60348.02B/s, recent marking phase length: 582.28ms
[2024-10-12T10:01:58.884+0800] GC(63) Adaptive IHOP information (value update), threshold: 213825853B (93.71), internal target occupancy: 228170137B, occupancy: 213597184B, additional buffer size: 12582912B, predicted old gen allocation rate: 1876771.06B/s, predicted marking phase length: 938.51ms, prediction active: true
[2024-10-12T10:01:59.028+0800] GC(64) Basic information (value update), threshold: 213882885B (79.68), target occupancy: 268435456B, current occupancy: 219886080B, recent allocation size: 12384B, recent allocation duration: 143.14ms, recent old gen allocation rate: 86519.00B/s, recent marking phase length: 582.28ms
[2024-10-12T10:01:59.028+0800] GC(64) Adaptive IHOP information (value update), threshold: 213882885B (93.74), internal target occupancy: 228170137B, occupancy: 219886080B, additional buffer size: 12582912B, predicted old gen allocation rate: 1816003.17B/s, predicted marking phase length: 938.51ms, prediction active: true
[2024-10-12T10:01:59.369+0800] GC(66) Basic information (value update), threshold: 226522661B (84.39), target occupancy: 268435456B, current occupancy: 169088512B, recent allocation size: 2109536B, recent allocation duration: 337.90ms, recent old gen allocation rate: 6243161.51B/s, recent marking phase length: 582.28ms
