[2024-10-12T11:09:19.711+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T11:09:19.903+0800] GC(0) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 9006080B, recent allocation size: 2097152B, recent allocation duration: 191.46ms, recent old gen allocation rate: 10953398.94B/s, recent marking phase length: 0.00ms
[2024-10-12T11:09:23.108+0800] GC(14) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 82173440B, recent allocation size: 6192B, recent allocation duration: 392.89ms, recent old gen allocation rate: 15760.03B/s, recent marking phase length: 495.18ms
[2024-10-12T11:09:23.108+0800] GC(14) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 82173440B, additional buffer size: 10485760B, predicted old gen allocation rate: 9592891.45B/s, predicted marking phase length: 990.36ms, prediction active: false
[2024-10-12T11:09:23.369+0800] GC(16) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 90562048B, recent allocation size: 6192B, recent allocation duration: 257.89ms, recent old gen allocation rate: 24010.59B/s, recent marking phase length: 495.18ms
[2024-10-12T11:09:23.369+0800] GC(16) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 90562048B, additional buffer size: 0B, predicted old gen allocation rate: 9296437.33B/s, predicted marking phase length: 990.36ms, prediction active: false
[2024-10-12T11:09:23.480+0800] GC(17) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 84272640B, recent allocation size: 8256B, recent allocation duration: 257.89ms, recent old gen allocation rate: 32014.12B/s, recent marking phase length: 362.12ms
[2024-10-12T11:09:23.480+0800] GC(17) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 84272640B, additional buffer size: 0B, predicted old gen allocation rate: 9296437.33B/s, predicted marking phase length: 854.92ms, prediction active: false
[2024-10-12T11:09:23.858+0800] GC(19) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 89396736B, recent allocation size: 4128B, recent allocation duration: 269.27ms, recent old gen allocation rate: 15330.62B/s, recent marking phase length: 362.12ms
[2024-10-12T11:09:23.858+0800] GC(19) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 89396736B, additional buffer size: 8388608B, predicted old gen allocation rate: 9002130.86B/s, predicted marking phase length: 854.92ms, prediction active: false
[2024-10-12T11:09:24.077+0800] GC(21) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 96853504B, recent allocation size: 6192B, recent allocation duration: 216.28ms, recent old gen allocation rate: 28629.40B/s, recent marking phase length: 362.12ms
[2024-10-12T11:09:24.078+0800] GC(21) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 96853504B, additional buffer size: 0B, predicted old gen allocation rate: 8712055.30B/s, predicted marking phase length: 854.92ms, prediction active: false
[2024-10-12T11:09:24.187+0800] GC(22) Basic information (value update), threshold: 107811404B (80.33), target occupancy: 134217728B, current occupancy: 92892160B, recent allocation size: 6192B, recent allocation duration: 216.28ms, recent old gen allocation rate: 28629.40B/s, recent marking phase length: 319.51ms
[2024-10-12T11:09:24.187+0800] GC(22) Adaptive IHOP information (value update), threshold: 107811404B (94.50), internal target occupancy: 114085068B, occupancy: 92892160B, additional buffer size: 0B, predicted old gen allocation rate: 8712055.30B/s, predicted marking phase length: 720.11ms, prediction active: true
[2024-10-12T11:09:24.460+0800] GC(24) Basic information (value update), threshold: 101725167B (75.79), target occupancy: 134217728B, current occupancy: 99416576B, recent allocation size: 4128B, recent allocation duration: 164.59ms, recent old gen allocation rate: 25081.22B/s, recent marking phase length: 319.51ms
[2024-10-12T11:09:24.460+0800] GC(24) Adaptive IHOP information (value update), threshold: 101725167B (89.17), internal target occupancy: 114085068B, occupancy: 99416576B, additional buffer size: 6291456B, predicted old gen allocation rate: 8427073.87B/s, predicted marking phase length: 720.11ms, prediction active: true
[2024-10-12T11:09:24.565+0800] GC(25) Basic information (value update), threshold: 101925462B (75.94), target occupancy: 134217728B, current occupancy: 103610880B, recent allocation size: 6192B, recent allocation duration: 103.61ms, recent old gen allocation rate: 59763.80B/s, recent marking phase length: 319.51ms
[2024-10-12T11:09:24.565+0800] GC(25) Adaptive IHOP information (value update), threshold: 101925462B (89.34), internal target occupancy: 114085068B, occupancy: 103610880B, additional buffer size: 6291456B, predicted old gen allocation rate: 8148929.19B/s, predicted marking phase length: 720.11ms, prediction active: true
[2024-10-12T11:09:24.670+0800] GC(26) Basic information (value update), threshold: 102121336B (76.09), target occupancy: 134217728B, current occupancy: 107805184B, recent allocation size: 4128B, recent allocation duration: 103.02ms, recent old gen allocation rate: 40068.37B/s, recent marking phase length: 319.51ms
[2024-10-12T11:09:24.670+0800] GC(26) Adaptive IHOP information (value update), threshold: 102121336B (89.51), internal target occupancy: 114085068B, occupancy: 107805184B, additional buffer size: 6291456B, predicted old gen allocation rate: 7876925.29B/s, predicted marking phase length: 720.11ms, prediction active: true
[2024-10-12T11:09:24.827+0800] GC(28) Basic information (value update), threshold: 108603873B (80.92), target occupancy: 134217728B, current occupancy: 110836736B, recent allocation size: 4128B, recent allocation duration: 154.15ms, recent old gen allocation rate: 26778.58B/s, recent marking phase length: 319.51ms
[2024-10-12T11:09:24.827+0800] GC(28) Adaptive IHOP information (value update), threshold: 108603873B (95.20), internal target occupancy: 114085068B, occupancy: 110836736B, additional buffer size: 0B, predicted old gen allocation rate: 7611576.76B/s, predicted marking phase length: 720.11ms, prediction active: true
[2024-10-12T11:09:24.893+0800] GC(29) Basic information (value update), threshold: 109642954B (81.69), target occupancy: 134217728B, current occupancy: 115032624B, recent allocation size: 2214800B, recent allocation duration: 154.15ms, recent old gen allocation rate: 14367539.18B/s, recent marking phase length: 216.17ms
[2024-10-12T11:09:24.893+0800] GC(29) Adaptive IHOP information (value update), threshold: 109642954B (96.11), internal target occupancy: 114085068B, occupancy: 115032624B, additional buffer size: 0B, predicted old gen allocation rate: 7611576.76B/s, predicted marking phase length: 583.60ms, prediction active: true
[2024-10-12T11:09:25.001+0800] GC(31) Basic information (value update), threshold: 102391680B (76.29), target occupancy: 134217728B, current occupancy: 131188048B, recent allocation size: 4194304B, recent allocation duration: 173.10ms, recent old gen allocation rate: 24230443.68B/s, recent marking phase length: 216.17ms
[2024-10-12T11:09:25.001+0800] GC(31) Adaptive IHOP information (value update), threshold: 102391680B (89.75), internal target occupancy: 114085068B, occupancy: 131188048B, additional buffer size: 6291456B, predicted old gen allocation rate: 9256227.32B/s, predicted marking phase length: 583.60ms, prediction active: true
[2024-10-12T11:09:25.300+0800] GC(34) Basic information (value update), threshold: 102576525B (76.43), target occupancy: 134217728B, current occupancy: 81189664B, recent allocation size: 0B, recent allocation duration: 471.18ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 216.17ms
[2024-10-12T11:09:25.300+0800] GC(34) Adaptive IHOP information (value update), threshold: 102576525B (89.91), internal target occupancy: 114085068B, occupancy: 81189664B, additional buffer size: 6291456B, predicted old gen allocation rate: 8939494.52B/s, predicted marking phase length: 583.60ms, prediction active: true
[2024-10-12T11:09:25.405+0800] GC(35) Basic information (value update), threshold: 102754803B (76.56), target occupancy: 134217728B, current occupancy: 85151008B, recent allocation size: 6192B, recent allocation duration: 103.14ms, recent old gen allocation rate: 60036.64B/s, recent marking phase length: 216.17ms
[2024-10-12T11:09:25.405+0800] GC(35) Adaptive IHOP information (value update), threshold: 102754803B (90.07), internal target occupancy: 114085068B, occupancy: 85151008B, additional buffer size: 6291456B, predicted old gen allocation rate: 8634014.48B/s, predicted marking phase length: 583.60ms, prediction active: true
[2024-10-12T11:09:25.510+0800] GC(36) Basic information (value update), threshold: 102927548B (76.69), target occupancy: 134217728B, current occupancy: 89112352B, recent allocation size: 6192B, recent allocation duration: 104.19ms, recent old gen allocation rate: 59427.28B/s, recent marking phase length: 216.17ms
[2024-10-12T11:09:25.510+0800] GC(36) Adaptive IHOP information (value update), threshold: 102927548B (90.22), internal target occupancy: 114085068B, occupancy: 89112352B, additional buffer size: 6291456B, predicted old gen allocation rate: 8338016.33B/s, predicted marking phase length: 583.60ms, prediction active: true
[2024-10-12T11:09:25.615+0800] GC(37) Basic information (value update), threshold: 103094770B (76.81), target occupancy: 134217728B, current occupancy: 93306656B, recent allocation size: 6192B, recent allocation duration: 102.95ms, recent old gen allocation rate: 60145.75B/s, recent marking phase length: 216.17ms
[2024-10-12T11:09:25.615+0800] GC(37) Adaptive IHOP information (value update), threshold: 103094770B (90.37), internal target occupancy: 114085068B, occupancy: 93306656B, additional buffer size: 6291456B, predicted old gen allocation rate: 8051480.12B/s, predicted marking phase length: 583.60ms, prediction active: true
[2024-10-12T11:09:25.771+0800] GC(39) Basic information (value update), threshold: 109548622B (81.62), target occupancy: 134217728B, current occupancy: 96802080B, recent allocation size: 4128B, recent allocation duration: 153.45ms, recent old gen allocation rate: 26901.11B/s, recent marking phase length: 216.17ms
[2024-10-12T11:09:25.771+0800] GC(39) Adaptive IHOP information (value update), threshold: 109548622B (96.02), internal target occupancy: 114085068B, occupancy: 96802080B, additional buffer size: 0B, predicted old gen allocation rate: 7773213.84B/s, predicted marking phase length: 583.60ms, prediction active: true
[2024-10-12T11:09:25.837+0800] GC(40) Basic information (value update), threshold: 110203988B (82.11), target occupancy: 134217728B, current occupancy: 111953696B, recent allocation size: 2260208B, recent allocation duration: 153.45ms, recent old gen allocation rate: 14729189.48B/s, recent marking phase length: 215.16ms
[2024-10-12T11:09:25.837+0800] GC(40) Adaptive IHOP information (value update), threshold: 110203988B (96.60), internal target occupancy: 114085068B, occupancy: 111953696B, additional buffer size: 0B, predicted old gen allocation rate: 7773213.84B/s, predicted marking phase length: 499.29ms, prediction active: true
[2024-10-12T11:09:25.947+0800] GC(42) Basic information (value update), threshold: 103139218B (76.84), target occupancy: 134217728B, current occupancy: 117621776B, recent allocation size: 4194304B, recent allocation duration: 174.44ms, recent old gen allocation rate: 24044563.30B/s, recent marking phase length: 215.16ms
[2024-10-12T11:09:25.947+0800] GC(42) Adaptive IHOP information (value update), threshold: 103139218B (90.41), internal target occupancy: 114085068B, occupancy: 117621776B, additional buffer size: 6291456B, predicted old gen allocation rate: 9322043.13B/s, predicted marking phase length: 499.29ms, prediction active: true
[2024-10-12T11:09:26.238+0800] GC(45) Basic information (value update), threshold: 103300692B (76.97), target occupancy: 134217728B, current occupancy: 82436264B, recent allocation size: 0B, recent allocation duration: 465.10ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 215.16ms
[2024-10-12T11:09:26.238+0800] GC(45) Adaptive IHOP information (value update), threshold: 103300692B (90.55), internal target occupancy: 114085068B, occupancy: 82436264B, additional buffer size: 6291456B, predicted old gen allocation rate: 8998635.29B/s, predicted marking phase length: 499.29ms, prediction active: true
[2024-10-12T11:09:26.343+0800] GC(46) Basic information (value update), threshold: 103455824B (77.08), target occupancy: 134217728B, current occupancy: 86164648B, recent allocation size: 6192B, recent allocation duration: 103.35ms, recent old gen allocation rate: 59914.39B/s, recent marking phase length: 215.16ms
[2024-10-12T11:09:26.343+0800] GC(46) Adaptive IHOP information (value update), threshold: 103455824B (90.68), internal target occupancy: 114085068B, occupancy: 86164648B, additional buffer size: 6291456B, predicted old gen allocation rate: 8687930.22B/s, predicted marking phase length: 499.29ms, prediction active: true
[2024-10-12T11:09:26.447+0800] GC(47) Basic information (value update), threshold: 103605702B (77.19), target occupancy: 134217728B, current occupancy: 90358952B, recent allocation size: 6192B, recent allocation duration: 102.67ms, recent old gen allocation rate: 60307.96B/s, recent marking phase length: 215.16ms
[2024-10-12T11:09:26.447+0800] GC(47) Adaptive IHOP information (value update), threshold: 103605702B (90.81), internal target occupancy: 114085068B, occupancy: 90358952B, additional buffer size: 6291456B, predicted old gen allocation rate: 8387747.12B/s, predicted marking phase length: 499.29ms, prediction active: true
[2024-10-12T11:09:26.531+0800] GC(48) Basic information (value update), threshold: 103750622B (77.30), target occupancy: 134217728B, current occupancy: 94087336B, recent allocation size: 4128B, recent allocation duration: 82.26ms, recent old gen allocation rate: 50181.50B/s, recent marking phase length: 215.16ms
[2024-10-12T11:09:26.531+0800] GC(48) Adaptive IHOP information (value update), threshold: 103750622B (90.94), internal target occupancy: 114085068B, occupancy: 94087336B, additional buffer size: 6291456B, predicted old gen allocation rate: 8097495.15B/s, predicted marking phase length: 499.29ms, prediction active: true
[2024-10-12T11:09:26.709+0800] GC(50) Basic information (value update), threshold: 110182242B (82.09), target occupancy: 134217728B, current occupancy: 98281640B, recent allocation size: 2103344B, recent allocation duration: 174.70ms, recent old gen allocation rate: 12039594.18B/s, recent marking phase length: 215.16ms
[2024-10-12T11:09:26.709+0800] GC(50) Adaptive IHOP information (value update), threshold: 110182242B (96.58), internal target occupancy: 114085068B, occupancy: 98281640B, additional buffer size: 0B, predicted old gen allocation rate: 7816767.34B/s, predicted marking phase length: 499.29ms, prediction active: true
[2024-10-12T11:09:26.775+0800] GC(51) Basic information (value update), threshold: 110229291B (82.13), target occupancy: 134217728B, current occupancy: 108772632B, recent allocation size: 2320064B, recent allocation duration: 174.70ms, recent old gen allocation rate: 13280104.94B/s, recent marking phase length: 236.56ms
[2024-10-12T11:09:26.775+0800] GC(51) Adaptive IHOP information (value update), threshold: 110229291B (96.62), internal target occupancy: 114085068B, occupancy: 108772632B, additional buffer size: 0B, predicted old gen allocation rate: 7816767.34B/s, predicted marking phase length: 493.27ms, prediction active: true
[2024-10-12T11:09:26.881+0800] GC(52) Basic information (value update), threshold: 104071676B (77.54), target occupancy: 134217728B, current occupancy: 112960728B, recent allocation size: 4128B, recent allocation duration: 169.91ms, recent old gen allocation rate: 24295.42B/s, recent marking phase length: 236.56ms
[2024-10-12T11:09:26.881+0800] GC(52) Adaptive IHOP information (value update), threshold: 104071676B (91.22), internal target occupancy: 114085068B, occupancy: 112960728B, additional buffer size: 6291456B, predicted old gen allocation rate: 7545433.65B/s, predicted marking phase length: 493.27ms, prediction active: true
[2024-10-12T11:09:26.995+0800] GC(54) Basic information (value update), threshold: 110492053B (82.32), target occupancy: 134217728B, current occupancy: 112969480B, recent allocation size: 4128B, recent allocation duration: 112.12ms, recent old gen allocation rate: 36818.11B/s, recent marking phase length: 236.56ms
[2024-10-12T11:09:26.995+0800] GC(54) Adaptive IHOP information (value update), threshold: 110492053B (96.85), internal target occupancy: 114085068B, occupancy: 112969480B, additional buffer size: 0B, predicted old gen allocation rate: 7284073.97B/s, predicted marking phase length: 493.27ms, prediction active: true
[2024-10-12T11:09:27.040+0800] GC(55) Basic information (value update), threshold: 110538620B (82.36), target occupancy: 134217728B, current occupancy: 116468368B, recent allocation size: 2113664B, recent allocation duration: 112.12ms, recent old gen allocation rate: 18852016.02B/s, recent marking phase length: 153.55ms
[2024-10-12T11:09:27.040+0800] GC(55) Adaptive IHOP information (value update), threshold: 110538620B (96.89), internal target occupancy: 114085068B, occupancy: 116468368B, additional buffer size: 0B, predicted old gen allocation rate: 7284073.97B/s, predicted marking phase length: 486.88ms, prediction active: true
[2024-10-12T11:09:27.104+0800] GC(56) Basic information (value update), threshold: 102574195B (76.42), target occupancy: 134217728B, current occupancy: 118407232B, recent allocation size: 4194304B, recent allocation duration: 107.29ms, recent old gen allocation rate: 39094465.19B/s, recent marking phase length: 153.55ms
[2024-10-12T11:09:27.104+0800] GC(56) Adaptive IHOP information (value update), threshold: 102574195B (89.91), internal target occupancy: 114085068B, occupancy: 118407232B, additional buffer size: 6291456B, predicted old gen allocation rate: 10720193.97B/s, predicted marking phase length: 486.88ms, prediction active: true
[2024-10-12T11:09:27.394+0800] GC(59) Basic information (value update), threshold: 100658521B (75.00), target occupancy: 134217728B, current occupancy: 82219632B, recent allocation size: 0B, recent allocation duration: 396.74ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 153.55ms
[2024-10-12T11:09:27.394+0800] GC(59) Adaptive IHOP information (value update), threshold: 100658521B (88.23), internal target occupancy: 114085068B, occupancy: 82219632B, additional buffer size: 8388608B, predicted old gen allocation rate: 10347455.62B/s, predicted marking phase length: 486.88ms, prediction active: true
[2024-10-12T11:09:27.560+0800] GC(60) Basic information (value update), threshold: 102929996B (76.69), target occupancy: 134217728B, current occupancy: 88744048B, recent allocation size: 6192B, recent allocation duration: 164.51ms, recent old gen allocation rate: 37638.48B/s, recent marking phase length: 153.55ms
[2024-10-12T11:09:27.560+0800] GC(60) Adaptive IHOP information (value update), threshold: 102929996B (90.22), internal target occupancy: 114085068B, occupancy: 88744048B, additional buffer size: 6291456B, predicted old gen allocation rate: 9989412.94B/s, predicted marking phase length: 486.88ms, prediction active: true
[2024-10-12T11:09:27.664+0800] GC(61) Basic information (value update), threshold: 103097649B (76.81), target occupancy: 134217728B, current occupancy: 93171312B, recent allocation size: 6192B, recent allocation duration: 102.62ms, recent old gen allocation rate: 60340.75B/s, recent marking phase length: 153.55ms
[2024-10-12T11:09:27.664+0800] GC(61) Adaptive IHOP information (value update), threshold: 103097649B (90.37), internal target occupancy: 114085068B, occupancy: 93171312B, additional buffer size: 6291456B, predicted old gen allocation rate: 9645069.04B/s, predicted marking phase length: 486.88ms, prediction active: true
[2024-10-12T11:09:27.820+0800] GC(63) Basic information (value update), threshold: 109551082B (81.62), target occupancy: 134217728B, current occupancy: 97132656B, recent allocation size: 6192B, recent allocation duration: 152.86ms, recent old gen allocation rate: 40506.57B/s, recent marking phase length: 153.55ms
[2024-10-12T11:09:27.820+0800] GC(63) Adaptive IHOP information (value update), threshold: 109551082B (96.03), internal target occupancy: 114085068B, occupancy: 97132656B, additional buffer size: 0B, predicted old gen allocation rate: 9312383.93B/s, predicted marking phase length: 486.88ms, prediction active: true
[2024-10-12T11:09:27.889+0800] GC(64) Basic information (value update), threshold: 109621355B (81.67), target occupancy: 134217728B, current occupancy: 114831784B, recent allocation size: 2724608B, recent allocation duration: 152.86ms, recent old gen allocation rate: 17823728.60B/s, recent marking phase length: 214.63ms
[2024-10-12T11:09:27.889+0800] GC(64) Adaptive IHOP information (value update), threshold: 109621355B (96.09), internal target occupancy: 114085068B, occupancy: 114831784B, additional buffer size: 0B, predicted old gen allocation rate: 9312383.93B/s, predicted marking phase length: 479.33ms, prediction active: true
[2024-10-12T11:09:27.932+0800] GC(65) Basic information (value update), threshold: 103483659B (77.10), target occupancy: 134217728B, current occupancy: 116469632B, recent allocation size: 4128B, recent allocation duration: 110.18ms, recent old gen allocation rate: 37466.73B/s, recent marking phase length: 214.63ms
[2024-10-12T11:09:27.932+0800] GC(65) Adaptive IHOP information (value update), threshold: 103483659B (90.71), internal target occupancy: 114085068B, occupancy: 116469632B, additional buffer size: 6291456B, predicted old gen allocation rate: 8991603.09B/s, predicted marking phase length: 479.33ms, prediction active: true
[2024-10-12T11:09:28.047+0800] GC(67) Basic information (value update), threshold: 109366275B (81.48), target occupancy: 134217728B, current occupancy: 118568384B, recent allocation size: 2099216B, recent allocation duration: 112.92ms, recent old gen allocation rate: 18590560.89B/s, recent marking phase length: 214.63ms
[2024-10-12T11:09:28.047+0800] GC(67) Adaptive IHOP information (value update), threshold: 109366275B (95.86), internal target occupancy: 114085068B, occupancy: 118568384B, additional buffer size: 0B, predicted old gen allocation rate: 9844543.79B/s, predicted marking phase length: 479.33ms, prediction active: true
[2024-10-12T11:09:28.090+0800] GC(68) Basic information (value update), threshold: 109446664B (81.54), target occupancy: 134217728B, current occupancy: 120271984B, recent allocation size: 4194304B, recent allocation duration: 112.92ms, recent old gen allocation rate: 37144564.39B/s, recent marking phase length: 154.28ms
[2024-10-12T11:09:28.090+0800] GC(68) Adaptive IHOP information (value update), threshold: 109446664B (95.93), internal target occupancy: 114085068B, occupancy: 120271984B, additional buffer size: 0B, predicted old gen allocation rate: 9844543.79B/s, predicted marking phase length: 471.16ms, prediction active: true
[2024-10-12T11:09:28.336+0800] GC(70) Basic information (value update), threshold: 101219136B (75.41), target occupancy: 134217728B, current occupancy: 79014592B, recent allocation size: 0B, recent allocation duration: 400.90ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 154.28ms
[2024-10-12T11:09:28.336+0800] GC(70) Adaptive IHOP information (value update), threshold: 101219136B (88.72), internal target occupancy: 114085068B, occupancy: 79014592B, additional buffer size: 8388608B, predicted old gen allocation rate: 9502668.00B/s, predicted marking phase length: 471.16ms, prediction active: true
[2024-10-12T11:09:28.502+0800] GC(71) Basic information (value update), threshold: 103470922B (77.09), target occupancy: 134217728B, current occupancy: 86471360B, recent allocation size: 6192B, recent allocation duration: 164.38ms, recent old gen allocation rate: 37669.08B/s, recent marking phase length: 154.28ms
[2024-10-12T11:09:28.502+0800] GC(71) Adaptive IHOP information (value update), threshold: 103470922B (90.70), internal target occupancy: 114085068B, occupancy: 86471360B, additional buffer size: 6291456B, predicted old gen allocation rate: 9174472.97B/s, predicted marking phase length: 471.16ms, prediction active: true
[2024-10-12T11:09:28.606+0800] GC(72) Basic information (value update), threshold: 103619935B (77.20), target occupancy: 134217728B, current occupancy: 90665664B, recent allocation size: 4128B, recent allocation duration: 102.53ms, recent old gen allocation rate: 40263.25B/s, recent marking phase length: 154.28ms
[2024-10-12T11:09:28.606+0800] GC(72) Adaptive IHOP information (value update), threshold: 103619935B (90.83), internal target occupancy: 114085068B, occupancy: 90665664B, additional buffer size: 6291456B, predicted old gen allocation rate: 8858207.78B/s, predicted marking phase length: 471.16ms, prediction active: true
[2024-10-12T11:09:28.711+0800] GC(73) Basic information (value update), threshold: 103763206B (77.31), target occupancy: 134217728B, current occupancy: 93929664B, recent allocation size: 6192B, recent allocation duration: 103.36ms, recent old gen allocation rate: 59905.27B/s, recent marking phase length: 154.28ms
