[2024-10-12T11:43:58.289+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T11:43:58.505+0800] GC(0) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 9704960B, recent allocation size: 2097152B, recent allocation duration: 214.13ms, recent old gen allocation rate: 9793836.88B/s, recent marking phase length: 0.00ms
[2024-10-12T11:44:07.056+0800] GC(66) Basic information (value update), threshold: 105796939B (78.82), target occupancy: 134217728B, current occupancy: 115727872B, recent allocation size: 6192B, recent allocation duration: 102.56ms, recent old gen allocation rate: 60373.12B/s, recent marking phase length: 255.95ms
[2024-10-12T11:44:07.056+0800] GC(66) Adaptive IHOP information (value update), threshold: 105796939B (92.74), internal target occupancy: 114085068B, occupancy: 115727872B, additional buffer size: 6291456B, predicted old gen allocation rate: 4694948.34B/s, predicted marking phase length: 425.28ms, prediction active: true
[2024-10-12T11:44:07.212+0800] GC(68) Basic information (value update), threshold: 112157486B (83.56), target occupancy: 134217728B, current occupancy: 116892672B, recent allocation size: 4128B, recent allocation duration: 153.17ms, recent old gen allocation rate: 26950.86B/s, recent marking phase length: 255.95ms
[2024-10-12T11:44:07.212+0800] GC(68) Adaptive IHOP information (value update), threshold: 112157486B (98.31), internal target occupancy: 114085068B, occupancy: 116892672B, additional buffer size: 0B, predicted old gen allocation rate: 4532488.56B/s, predicted marking phase length: 425.28ms, prediction active: true
[2024-10-12T11:44:07.317+0800] GC(69) Basic information (value update), threshold: 112178387B (83.58), target occupancy: 134217728B, current occupancy: 123184088B, recent allocation size: 4204624B, recent allocation duration: 153.17ms, recent old gen allocation rate: 27451118.34B/s, recent marking phase length: 255.65ms
[2024-10-12T11:44:07.317+0800] GC(69) Adaptive IHOP information (value update), threshold: 112178387B (98.33), internal target occupancy: 114085068B, occupancy: 123184088B, additional buffer size: 0B, predicted old gen allocation rate: 4532488.56B/s, predicted marking phase length: 420.67ms, prediction active: true
[2024-10-12T11:44:07.655+0800] GC(74) Basic information (value update), threshold: 105953262B (78.94), target occupancy: 134217728B, current occupancy: 83519968B, recent allocation size: 0B, recent allocation duration: 441.59ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 255.65ms
[2024-10-12T11:44:07.656+0800] GC(74) Adaptive IHOP information (value update), threshold: 105953262B (92.87), internal target occupancy: 114085068B, occupancy: 83519968B, additional buffer size: 6291456B, predicted old gen allocation rate: 4374810.35B/s, predicted marking phase length: 420.67ms, prediction active: true
[2024-10-12T11:44:07.760+0800] GC(75) Basic information (value update), threshold: 106016301B (78.99), target occupancy: 134217728B, current occupancy: 87949280B, recent allocation size: 6192B, recent allocation duration: 102.75ms, recent old gen allocation rate: 60263.91B/s, recent marking phase length: 255.65ms
[2024-10-12T11:44:07.760+0800] GC(75) Adaptive IHOP information (value update), threshold: 106016301B (92.93), internal target occupancy: 114085068B, occupancy: 87949280B, additional buffer size: 6291456B, predicted old gen allocation rate: 4224955.81B/s, predicted marking phase length: 420.67ms, prediction active: true
[2024-10-12T11:44:07.864+0800] GC(76) Basic information (value update), threshold: 106077397B (79.03), target occupancy: 134217728B, current occupancy: 91442656B, recent allocation size: 4128B, recent allocation duration: 103.17ms, recent old gen allocation rate: 40011.03B/s, recent marking phase length: 255.65ms
[2024-10-12T11:44:07.864+0800] GC(76) Adaptive IHOP information (value update), threshold: 106077397B (92.98), internal target occupancy: 114085068B, occupancy: 91442656B, additional buffer size: 6291456B, predicted old gen allocation rate: 4079721.90B/s, predicted marking phase length: 420.67ms, prediction active: true
[2024-10-12T11:44:07.968+0800] GC(77) Basic information (value update), threshold: 106135971B (79.08), target occupancy: 134217728B, current occupancy: 95636960B, recent allocation size: 6192B, recent allocation duration: 102.51ms, recent old gen allocation rate: 60405.38B/s, recent marking phase length: 255.65ms
[2024-10-12T11:44:07.968+0800] GC(77) Adaptive IHOP information (value update), threshold: 106135971B (93.03), internal target occupancy: 114085068B, occupancy: 95636960B, additional buffer size: 6291456B, predicted old gen allocation rate: 3940480.64B/s, predicted marking phase length: 420.67ms, prediction active: true
[2024-10-12T11:44:08.124+0800] GC(79) Basic information (value update), threshold: 112484206B (83.81), target occupancy: 134217728B, current occupancy: 99365216B, recent allocation size: 6192B, recent allocation duration: 153.12ms, recent old gen allocation rate: 40438.10B/s, recent marking phase length: 255.65ms
[2024-10-12T11:44:08.124+0800] GC(79) Adaptive IHOP information (value update), threshold: 112484206B (98.60), internal target occupancy: 114085068B, occupancy: 99365216B, additional buffer size: 0B, predicted old gen allocation rate: 3805508.86B/s, predicted marking phase length: 420.67ms, prediction active: true
[2024-10-12T11:44:08.229+0800] GC(80) Basic information (value update), threshold: 112502296B (83.82), target occupancy: 134217728B, current occupancy: 95583328B, recent allocation size: 47472B, recent allocation duration: 153.12ms, recent old gen allocation rate: 310025.47B/s, recent marking phase length: 255.73ms
[2024-10-12T11:44:08.229+0800] GC(80) Adaptive IHOP information (value update), threshold: 112502296B (98.61), internal target occupancy: 114085068B, occupancy: 95583328B, additional buffer size: 0B, predicted old gen allocation rate: 3805508.86B/s, predicted marking phase length: 415.92ms, prediction active: true
[2024-10-12T11:44:08.654+0800] GC(84) Basic information (value update), threshold: 106264625B (79.17), target occupancy: 134217728B, current occupancy: 100338592B, recent allocation size: 6192B, recent allocation duration: 102.40ms, recent old gen allocation rate: 60468.65B/s, recent marking phase length: 255.73ms
[2024-10-12T11:44:08.654+0800] GC(84) Adaptive IHOP information (value update), threshold: 106264625B (93.15), internal target occupancy: 114085068B, occupancy: 100338592B, additional buffer size: 6291456B, predicted old gen allocation rate: 3676191.24B/s, predicted marking phase length: 415.92ms, prediction active: true
[2024-10-12T11:44:08.759+0800] GC(85) Basic information (value update), threshold: 106316466B (79.21), target occupancy: 134217728B, current occupancy: 104064928B, recent allocation size: 6192B, recent allocation duration: 103.19ms, recent old gen allocation rate: 60006.22B/s, recent marking phase length: 255.73ms
[2024-10-12T11:44:08.759+0800] GC(85) Adaptive IHOP information (value update), threshold: 106316466B (93.19), internal target occupancy: 114085068B, occupancy: 104064928B, additional buffer size: 6291456B, predicted old gen allocation rate: 3551549.03B/s, predicted marking phase length: 415.92ms, prediction active: true
[2024-10-12T11:44:08.863+0800] GC(86) Basic information (value update), threshold: 106366416B (79.25), target occupancy: 134217728B, current occupancy: 108026272B, recent allocation size: 6192B, recent allocation duration: 102.60ms, recent old gen allocation rate: 60350.26B/s, recent marking phase length: 255.73ms
[2024-10-12T11:44:08.863+0800] GC(86) Adaptive IHOP information (value update), threshold: 106366416B (93.23), internal target occupancy: 114085068B, occupancy: 108026272B, additional buffer size: 6291456B, predicted old gen allocation rate: 3431451.56B/s, predicted marking phase length: 415.92ms, prediction active: true
[2024-10-12T11:44:09.019+0800] GC(88) Basic information (value update), threshold: 112706552B (83.97), target occupancy: 134217728B, current occupancy: 112686496B, recent allocation size: 4128B, recent allocation duration: 153.10ms, recent old gen allocation rate: 26962.10B/s, recent marking phase length: 255.73ms
